% Model:              C52_3D_base_unit_cell_recesses(square pillar) (2).mph
% Version:            COMSOL 5.2.0.220
% Date:               Jul 27 2026, 01:54
% Table:              Table 1 - Global Evaluation 2 (n_CO2_film)
% R_texture (m)          H_texture (m)            t (s)                    Total moles of CO2 captured per unit cell (mol)
5.0E-6                   5.0E-6                   0                        0
5.0E-6                   5.0E-6                   0.1                      0
5.0E-6                   5.0E-6                   0.2                      0
5.0E-6                   5.0E-6                   0.30000000000000004      0
5.0E-6                   5.0E-6                   0.4                      0
5.0E-6                   5.0E-6                   0.5                      0
5.0E-6                   5.0E-6                   0.6000000000000001       0
5.0E-6                   5.0E-6                   0.7000000000000001       0
5.0E-6                   5.0E-6                   0.8                      0
5.0E-6                   5.0E-6                   0.9                      0
5.0E-6                   5.0E-6                   1                        9.522286957381537E-7
5.0E-6                   5.0E-6                   1.1                      1.7830172907791045E-6
5.0E-6                   5.0E-6                   1.2000000000000002       1.7982533483464076E-6
5.0E-6                   5.0E-6                   1.3                      1.8135077211095934E-6
5.0E-6                   5.0E-6                   1.4000000000000001       1.8286712877697606E-6
5.0E-6                   5.0E-6                   1.5                      1.843768085725209E-6
5.0E-6                   5.0E-6                   1.6                      1.8588110964609449E-6
5.0E-6                   5.0E-6                   1.7000000000000002       1.8737145540390165E-6
5.0E-6                   5.0E-6                   1.8                      1.888553068222784E-6
5.0E-6                   5.0E-6                   1.9000000000000001       1.9033443177929774E-6
5.0E-6                   5.0E-6                   2                        1.9180883976974893E-6
5.0E-6                   5.0E-6                   5                        2.3320039211965057E-6
5.0E-6                   5.0E-6                   10                       2.93442721949277E-6
5.0E-6                   5.0E-6                   100                      8.659494618418136E-6
5.0E-6                   5.0E-6                   100                      8.659494618418136E-6
5.0E-6                   5.0E-6                   200                      1.2283635393577518E-5
5.0E-6                   5.0E-6                   300                      1.5057548427503841E-5
5.0E-6                   5.0E-6                   400                      1.7382764287271353E-5
5.0E-6                   5.0E-6                   500                      1.9425417332166273E-5
5.0E-6                   5.0E-6                   600                      2.1274263745510976E-5
5.0E-6                   5.0E-6                   700                      2.298164393470978E-5
5.0E-6                   5.0E-6                   800                      2.457189077979767E-5
5.0E-6                   5.0E-6                   900                      2.6060658843881135E-5
5.0E-6                   5.0E-6                   1000                     2.7465380226184104E-5
5.0E-6                   5.0E-6                   2000                     3.88354706040172E-5
5.0E-6                   5.0E-6                   3000                     4.7550395222844554E-5
5.0E-6                   5.0E-6                   4000                     5.490872363586605E-5
5.0E-6                   5.0E-6                   5000                     6.139106872356123E-5
5.0E-6                   5.0E-6                   6000                     6.725375985755619E-5
5.0E-6                   5.0E-6                   7000                     7.26409527328155E-5
5.0E-6                   5.0E-6                   8000                     7.764832838058211E-5
5.0E-6                   5.0E-6                   9000                     8.234321466789233E-5
5.0E-6                   5.0E-6                   10000                    8.677825736668787E-5
5.0E-6                   5.0E-6                   20000                    1.216235895043077E-4
5.0E-6                   5.0E-6                   30000                    1.441191729968496E-4
5.0E-6                   5.0E-6                   40000                    1.583928917411295E-4
5.0E-6                   5.0E-6                   50000                    1.6695209165468663E-4
5.0E-6                   5.0E-6                   60000                    1.717569204502984E-4
5.0E-6                   5.0E-6                   70000                    1.7439456513898847E-4
5.0E-6                   5.0E-6                   80000                    1.7575217699149312E-4
5.0E-6                   5.0E-6                   90000                    1.7639456067434367E-4
5.0E-6                   5.0E-6                   100000                   1.766455713702877E-4
5.0E-6                   5.0E-6                   110000                   1.76740505042487E-4
5.0E-6                   5.0E-6                   120000                   1.7673703938184983E-4
5.0E-6                   5.0E-6                   130000                   1.7672896270437316E-4
5.0E-6                   5.0E-6                   140000                   1.7676298100477455E-4
5.0E-6                   5.0E-6                   150000                   1.7681500793668425E-4
5.0E-6                   5.0E-6                   160000                   1.7684718847680374E-4
5.0E-6                   5.0E-6                   170000                   1.768766931065727E-4
5.0E-6                   5.0E-6                   180000                   1.768913769919462E-4
5.0E-6                   5.0E-6                   190000                   1.7690484085264527E-4
5.0E-6                   5.0E-6                   200000                   1.7691154056337688E-4
5.0E-6                   1.25E-5                  0                        0
5.0E-6                   1.25E-5                  0.1                      0
5.0E-6                   1.25E-5                  0.2                      0
5.0E-6                   1.25E-5                  0.30000000000000004      0
5.0E-6                   1.25E-5                  0.4                      0
5.0E-6                   1.25E-5                  0.5                      0
5.0E-6                   1.25E-5                  0.6000000000000001       0
5.0E-6                   1.25E-5                  0.7000000000000001       0
5.0E-6                   1.25E-5                  0.8                      0
5.0E-6                   1.25E-5                  0.9                      0
5.0E-6                   1.25E-5                  1                        9.478909549387452E-7
5.0E-6                   1.25E-5                  1.1                      1.7648579654405773E-6
5.0E-6                   1.25E-5                  1.2000000000000002       1.7807385473450591E-6
5.0E-6                   1.25E-5                  1.3                      1.7965308815931572E-6
5.0E-6                   1.25E-5                  1.4000000000000001       1.8122228854542664E-6
5.0E-6                   1.25E-5                  1.5                      1.8278376306979937E-6
5.0E-6                   1.25E-5                  1.6                      1.8433924564212148E-6
5.0E-6                   1.25E-5                  1.7000000000000002       1.8587962712482406E-6
5.0E-6                   1.25E-5                  1.8                      1.8741197752301615E-6
5.0E-6                   1.25E-5                  1.9000000000000001       1.8893915551550939E-6
5.0E-6                   1.25E-5                  2                        1.9046117688122973E-6
5.0E-6                   1.25E-5                  5                        2.3317827368899054E-6
5.0E-6                   1.25E-5                  10                       2.94589914476831E-6
5.0E-6                   1.25E-5                  100                      8.714743336344021E-6
5.0E-6                   1.25E-5                  100                      8.714743336344021E-6
5.0E-6                   1.25E-5                  200                      1.2339458198061571E-5
5.0E-6                   1.25E-5                  300                      1.5115427442957667E-5
5.0E-6                   1.25E-5                  400                      1.7448092245008913E-5
5.0E-6                   1.25E-5                  500                      1.9496283061497738E-5
5.0E-6                   1.25E-5                  600                      2.134274933183883E-5
5.0E-6                   1.25E-5                  700                      2.3040131360610828E-5
5.0E-6                   1.25E-5                  800                      2.462648892073507E-5
5.0E-6                   1.25E-5                  900                      2.6118959314559098E-5
5.0E-6                   1.25E-5                  1000                     2.753210853632498E-5
5.0E-6                   1.25E-5                  2000                     3.890349627647385E-5
5.0E-6                   1.25E-5                  3000                     4.761216289120899E-5
5.0E-6                   1.25E-5                  4000                     5.4967978898185077E-5
5.0E-6                   1.25E-5                  5000                     6.145072576198277E-5
5.0E-6                   1.25E-5                  6000                     6.73055843978866E-5
5.0E-6                   1.25E-5                  7000                     7.270334410393142E-5
5.0E-6                   1.25E-5                  8000                     7.771954050047731E-5
5.0E-6                   1.25E-5                  9000                     8.242505603907237E-5
5.0E-6                   1.25E-5                  10000                    8.686887641740033E-5
5.0E-6                   1.25E-5                  20000                    1.2169835639954948E-4
5.0E-6                   1.25E-5                  30000                    1.441584559835995E-4
5.0E-6                   1.25E-5                  40000                    1.5821424071879489E-4
5.0E-6                   1.25E-5                  50000                    1.666209685107569E-4
5.0E-6                   1.25E-5                  60000                    1.7140448743579979E-4
5.0E-6                   1.25E-5                  70000                    1.740144896488161E-4
5.0E-6                   1.25E-5                  80000                    1.7527597972461786E-4
5.0E-6                   1.25E-5                  90000                    1.7584756592598088E-4
5.0E-6                   1.25E-5                  100000                   1.7619997036285158E-4
5.0E-6                   1.25E-5                  110000                   1.7646640086929012E-4
5.0E-6                   1.25E-5                  120000                   1.767875906831843E-4
5.0E-6                   1.25E-5                  130000                   1.7690909235818674E-4
5.0E-6                   1.25E-5                  140000                   1.7698165819175166E-4
5.0E-6                   1.25E-5                  150000                   1.7701123253660705E-4
5.0E-6                   1.25E-5                  160000                   1.7702484223129937E-4
5.0E-6                   1.25E-5                  170000                   1.7702068093612024E-4
5.0E-6                   1.25E-5                  180000                   1.770155825751847E-4
5.0E-6                   1.25E-5                  190000                   1.7700843306485677E-4
5.0E-6                   1.25E-5                  200000                   1.770041430911729E-4
5.0E-6                   2.0E-5                   0                        0
5.0E-6                   2.0E-5                   0.1                      0
5.0E-6                   2.0E-5                   0.2                      0
5.0E-6                   2.0E-5                   0.30000000000000004      0
5.0E-6                   2.0E-5                   0.4                      0
5.0E-6                   2.0E-5                   0.5                      0
5.0E-6                   2.0E-5                   0.6000000000000001       0
5.0E-6                   2.0E-5                   0.7000000000000001       0
5.0E-6                   2.0E-5                   0.8                      0
5.0E-6                   2.0E-5                   0.9                      0
5.0E-6                   2.0E-5                   1                        9.633962274488395E-7
5.0E-6                   2.0E-5                   1.1                      1.8020412903936585E-6
5.0E-6                   2.0E-5                   1.2000000000000002       1.8180200897265755E-6
5.0E-6                   2.0E-5                   1.3                      1.8338151163320984E-6
5.0E-6                   2.0E-5                   1.4000000000000001       1.8495183820793926E-6
5.0E-6                   2.0E-5                   1.5                      1.865147218273292E-6
5.0E-6                   2.0E-5                   1.6                      1.8807191679122503E-6
5.0E-6                   2.0E-5                   1.7000000000000002       1.896152677070483E-6
5.0E-6                   2.0E-5                   1.8                      1.9115088156359855E-6
5.0E-6                   2.0E-5                   1.9000000000000001       1.9268149747696533E-6
5.0E-6                   2.0E-5                   2                        1.9420712699115483E-6
5.0E-6                   2.0E-5                   5                        2.369765934885254E-6
5.0E-6                   2.0E-5                   10                       2.990327542382473E-6
5.0E-6                   2.0E-5                   100                      8.792146004861679E-6
5.0E-6                   2.0E-5                   100                      8.792146004861679E-6
5.0E-6                   2.0E-5                   200                      1.2416309195791396E-5
5.0E-6                   2.0E-5                   300                      1.5189869132263497E-5
5.0E-6                   2.0E-5                   400                      1.7515041279065717E-5
5.0E-6                   2.0E-5                   500                      1.955771245529442E-5
5.0E-6                   2.0E-5                   600                      2.140666347655876E-5
5.0E-6                   2.0E-5                   700                      2.31140803688495E-5
5.0E-6                   2.0E-5                   800                      2.4704275771789857E-5
5.0E-6                   2.0E-5                   900                      2.619298404880461E-5
5.0E-6                   2.0E-5                   1000                     2.7597711541820984E-5
5.0E-6                   2.0E-5                   2000                     3.89678295558463E-5
5.0E-6                   2.0E-5                   3000                     4.76829432242318E-5
5.0E-6                   2.0E-5                   4000                     5.504113233226806E-5
5.0E-6                   2.0E-5                   5000                     6.152360738450452E-5
5.0E-6                   2.0E-5                   6000                     6.738609149963898E-5
5.0E-6                   2.0E-5                   7000                     7.277348553406033E-5
5.0E-6                   2.0E-5                   8000                     7.778071977772767E-5
5.0E-6                   2.0E-5                   9000                     8.247557326649658E-5
5.0E-6                   2.0E-5                   10000                    8.691065974650419E-5
5.0E-6                   2.0E-5                   20000                    1.2175606485144682E-4
5.0E-6                   2.0E-5                   30000                    1.442516907096177E-4
5.0E-6                   2.0E-5                   40000                    1.5852555642063268E-4
5.0E-6                   2.0E-5                   50000                    1.6708430042957476E-4
5.0E-6                   2.0E-5                   60000                    1.7188951136628907E-4
5.0E-6                   2.0E-5                   70000                    1.7452691756063602E-4
5.0E-6                   2.0E-5                   80000                    1.7588438635419336E-4
5.0E-6                   2.0E-5                   90000                    1.765260638723988E-4
5.0E-6                   2.0E-5                   100000                   1.7677700046825093E-4
5.0E-6                   2.0E-5                   110000                   1.7687210421076332E-4
5.0E-6                   2.0E-5                   120000                   1.768686450729536E-4
5.0E-6                   2.0E-5                   130000                   1.7686101982236857E-4
5.0E-6                   2.0E-5                   140000                   1.7689539125234215E-4
5.0E-6                   2.0E-5                   150000                   1.7694750143422265E-4
5.0E-6                   2.0E-5                   160000                   1.7697978590404406E-4
5.0E-6                   2.0E-5                   170000                   1.770092787441673E-4
5.0E-6                   2.0E-5                   180000                   1.7702401010857543E-4
5.0E-6                   2.0E-5                   190000                   1.7703746862784807E-4
5.0E-6                   2.0E-5                   200000                   1.7704419000121496E-4
5.0E-6                   2.75E-5                  0                        0
5.0E-6                   2.75E-5                  0.1                      0
5.0E-6                   2.75E-5                  0.2                      0
5.0E-6                   2.75E-5                  0.30000000000000004      0
5.0E-6                   2.75E-5                  0.4                      0
5.0E-6                   2.75E-5                  0.5                      0
5.0E-6                   2.75E-5                  0.6000000000000001       0
5.0E-6                   2.75E-5                  0.7000000000000001       0
5.0E-6                   2.75E-5                  0.8                      0
5.0E-6                   2.75E-5                  0.9                      0
5.0E-6                   2.75E-5                  1                        9.856435921558224E-7
5.0E-6                   2.75E-5                  1.1                      1.843642692420129E-6
5.0E-6                   2.75E-5                  1.2000000000000002       1.8598168713523598E-6
5.0E-6                   2.75E-5                  1.3                      1.8757952877861165E-6
5.0E-6                   2.75E-5                  1.4000000000000001       1.891678836578328E-6
5.0E-6                   2.75E-5                  1.5                      1.907483391197294E-6
5.0E-6                   2.75E-5                  1.6                      1.9232288386841124E-6
5.0E-6                   2.75E-5                  1.7000000000000002       1.9388344274775593E-6
5.0E-6                   2.75E-5                  1.8                      1.9543534573066885E-6
5.0E-6                   2.75E-5                  1.9000000000000001       1.969820843303642E-6
5.0E-6                   2.75E-5                  2                        1.9852367070175276E-6
5.0E-6                   2.75E-5                  5                        2.4166858311295825E-6
5.0E-6                   2.75E-5                  10                       3.0412400999117387E-6
5.0E-6                   2.75E-5                  100                      8.857105466988994E-6
5.0E-6                   2.75E-5                  100                      8.857105466988994E-6
5.0E-6                   2.75E-5                  200                      1.2482452012924864E-5
5.0E-6                   2.75E-5                  300                      1.5256199400886669E-5
5.0E-6                   2.75E-5                  400                      1.7581478911749355E-5
5.0E-6                   2.75E-5                  500                      1.9624150359111857E-5
5.0E-6                   2.75E-5                  600                      2.147356989274949E-5
5.0E-6                   2.75E-5                  700                      2.318118525540953E-5
5.0E-6                   2.75E-5                  800                      2.4771098741620485E-5
5.0E-6                   2.75E-5                  900                      2.6259444146649926E-5
5.0E-6                   2.75E-5                  1000                     2.7664197292655156E-5
5.0E-6                   2.75E-5                  2000                     3.9034231280211514E-5
5.0E-6                   2.75E-5                  3000                     4.775018888387177E-5
5.0E-6                   2.75E-5                  4000                     5.510751668277457E-5
5.0E-6                   2.75E-5                  5000                     6.15735328498274E-5
5.0E-6                   2.75E-5                  6000                     6.742624402398918E-5
5.0E-6                   2.75E-5                  7000                     7.281500069481415E-5
5.0E-6                   2.75E-5                  8000                     7.783162422213562E-5
5.0E-6                   2.75E-5                  9000                     8.253930726116958E-5
5.0E-6                   2.75E-5                  10000                    8.698446276373728E-5
5.0E-6                   2.75E-5                  20000                    1.2183690668494542E-4
5.0E-6                   2.75E-5                  30000                    1.4433943182280245E-4
5.0E-6                   2.75E-5                  40000                    1.5828760445597026E-4
5.0E-6                   2.75E-5                  50000                    1.6648105647879238E-4
5.0E-6                   2.75E-5                  60000                    1.7110213480730143E-4
5.0E-6                   2.75E-5                  70000                    1.7364319352327614E-4
5.0E-6                   2.75E-5                  80000                    1.7505664255985486E-4
5.0E-6                   2.75E-5                  90000                    1.758300376278873E-4
5.0E-6                   2.75E-5                  100000                   1.7631372208575083E-4
5.0E-6                   2.75E-5                  110000                   1.766506359024087E-4
5.0E-6                   2.75E-5                  120000                   1.7686573637561062E-4
5.0E-6                   2.75E-5                  130000                   1.7699436002554633E-4
5.0E-6                   2.75E-5                  140000                   1.770749150890383E-4
5.0E-6                   2.75E-5                  150000                   1.7711663844389034E-4
5.0E-6                   2.75E-5                  160000                   1.771403392275761E-4
5.0E-6                   2.75E-5                  170000                   1.7714515171602668E-4
5.0E-6                   2.75E-5                  180000                   1.7714602848315826E-4
5.0E-6                   2.75E-5                  190000                   1.7714234400400546E-4
5.0E-6                   2.75E-5                  200000                   1.7713804421236621E-4
5.0E-6                   3.5000000000000004E-5    0                        0
5.0E-6                   3.5000000000000004E-5    0.1                      0
5.0E-6                   3.5000000000000004E-5    0.2                      0
5.0E-6                   3.5000000000000004E-5    0.30000000000000004      0
5.0E-6                   3.5000000000000004E-5    0.4                      0
5.0E-6                   3.5000000000000004E-5    0.5                      0
5.0E-6                   3.5000000000000004E-5    0.6000000000000001       0
5.0E-6                   3.5000000000000004E-5    0.7000000000000001       0
5.0E-6                   3.5000000000000004E-5    0.8                      0
5.0E-6                   3.5000000000000004E-5    0.9                      0
5.0E-6                   3.5000000000000004E-5    1                        9.825780094731836E-7
5.0E-6                   3.5000000000000004E-5    1.1                      1.8323633019332096E-6
5.0E-6                   3.5000000000000004E-5    1.2000000000000002       1.8488475311264903E-6
5.0E-6                   3.5000000000000004E-5    1.3                      1.8651681976148334E-6
5.0E-6                   3.5000000000000004E-5    1.4000000000000001       1.8813885028523293E-6
5.0E-6                   3.5000000000000004E-5    1.5                      1.8975465147040299E-6
5.0E-6                   3.5000000000000004E-5    1.6                      1.9135772056998127E-6
5.0E-6                   3.5000000000000004E-5    1.7000000000000002       1.9295230914107707E-6
5.0E-6                   3.5000000000000004E-5    1.8                      1.9454134465267375E-6
5.0E-6                   3.5000000000000004E-5    1.9000000000000001       1.9612484102456353E-6
5.0E-6                   3.5000000000000004E-5    2                        1.977028120100177E-6
5.0E-6                   3.5000000000000004E-5    5                        2.4180308681222617E-6
5.0E-6                   3.5000000000000004E-5    10                       3.054693127245978E-6
5.0E-6                   3.5000000000000004E-5    100                      8.918061682098028E-6
5.0E-6                   3.5000000000000004E-5    100                      8.918061682098028E-6
5.0E-6                   3.5000000000000004E-5    200                      1.2545030856774996E-5
5.0E-6                   3.5000000000000004E-5    300                      1.5312387789558408E-5
5.0E-6                   3.5000000000000004E-5    400                      1.7644078674427683E-5
5.0E-6                   3.5000000000000004E-5    500                      1.969617447337653E-5
5.0E-6                   3.5000000000000004E-5    600                      2.154815337029798E-5
5.0E-6                   3.5000000000000004E-5    700                      2.3251858841293217E-5
5.0E-6                   3.5000000000000004E-5    800                      2.4834406806966643E-5
5.0E-6                   3.5000000000000004E-5    900                      2.632506760496981E-5
5.0E-6                   3.5000000000000004E-5    1000                     2.7742891729583857E-5
5.0E-6                   3.5000000000000004E-5    2000                     3.911201619815509E-5
5.0E-6                   3.5000000000000004E-5    3000                     4.783306356911076E-5
5.0E-6                   3.5000000000000004E-5    4000                     5.5187058233171796E-5
5.0E-6                   3.5000000000000004E-5    5000                     6.166331371692272E-5
5.0E-6                   3.5000000000000004E-5    6000                     6.752332791145893E-5
5.0E-6                   3.5000000000000004E-5    7000                     7.291317529670474E-5
5.0E-6                   3.5000000000000004E-5    8000                     7.792834278342564E-5
5.0E-6                   3.5000000000000004E-5    9000                     8.263631905451124E-5
5.0E-6                   3.5000000000000004E-5    10000                    8.708472008310121E-5
5.0E-6                   3.5000000000000004E-5    20000                    1.2192338665470399E-4
5.0E-6                   3.5000000000000004E-5    30000                    1.444259859624868E-4
5.0E-6                   3.5000000000000004E-5    40000                    1.5834894693110105E-4
5.0E-6                   3.5000000000000004E-5    50000                    1.6651320128539807E-4
5.0E-6                   3.5000000000000004E-5    60000                    1.7117692071933556E-4
5.0E-6                   3.5000000000000004E-5    70000                    1.7376446287829456E-4
5.0E-6                   3.5000000000000004E-5    80000                    1.751850676288987E-4
5.0E-6                   3.5000000000000004E-5    90000                    1.759948186107232E-4
5.0E-6                   3.5000000000000004E-5    100000                   1.7648201158692182E-4
5.0E-6                   3.5000000000000004E-5    110000                   1.7679600340579077E-4
5.0E-6                   3.5000000000000004E-5    120000                   1.769894175679318E-4
5.0E-6                   3.5000000000000004E-5    130000                   1.7711421144623313E-4
5.0E-6                   3.5000000000000004E-5    140000                   1.7717650001039325E-4
5.0E-6                   3.5000000000000004E-5    150000                   1.7721233447832914E-4
5.0E-6                   3.5000000000000004E-5    160000                   1.7721811463100598E-4
5.0E-6                   3.5000000000000004E-5    170000                   1.7722129135037346E-4
5.0E-6                   3.5000000000000004E-5    180000                   1.7721498869329816E-4
5.0E-6                   3.5000000000000004E-5    190000                   1.7721071498082774E-4
5.0E-6                   3.5000000000000004E-5    200000                   1.7720520494548747E-4
1.0E-5                   5.0E-6                   0                        0
1.0E-5                   5.0E-6                   0.1                      0
1.0E-5                   5.0E-6                   0.2                      0
1.0E-5                   5.0E-6                   0.30000000000000004      0
1.0E-5                   5.0E-6                   0.4                      0
1.0E-5                   5.0E-6                   0.5                      0
1.0E-5                   5.0E-6                   0.6000000000000001       0
1.0E-5                   5.0E-6                   0.7000000000000001       0
1.0E-5                   5.0E-6                   0.8                      0
1.0E-5                   5.0E-6                   0.9                      0
1.0E-5                   5.0E-6                   1                        9.705782567729487E-7
1.0E-5                   5.0E-6                   1.1                      1.8156175598754108E-6
1.0E-5                   5.0E-6                   1.2000000000000002       1.8309885486486871E-6
1.0E-5                   5.0E-6                   1.3                      1.8461860496015367E-6
1.0E-5                   5.0E-6                   1.4000000000000001       1.861300284167102E-6
1.0E-5                   5.0E-6                   1.5                      1.8763464964531925E-6
1.0E-5                   5.0E-6                   1.6                      1.8913407724156739E-6
1.0E-5                   5.0E-6                   1.7000000000000002       1.9062097922374524E-6
1.0E-5                   5.0E-6                   1.8                      1.9210077446764524E-6
1.0E-5                   5.0E-6                   1.9000000000000001       1.9357598356666503E-6
1.0E-5                   5.0E-6                   2                        1.950466155306478E-6
1.0E-5                   5.0E-6                   5                        2.3639710329265965E-6
1.0E-5                   5.0E-6                   10                       2.9684953905815496E-6
1.0E-5                   5.0E-6                   100                      8.728441503949653E-6
1.0E-5                   5.0E-6                   100                      8.728441503949653E-6
1.0E-5                   5.0E-6                   200                      1.2364570418624111E-5
1.0E-5                   5.0E-6                   300                      1.5134389277600093E-5
1.0E-5                   5.0E-6                   400                      1.746977347698212E-5
1.0E-5                   5.0E-6                   500                      1.9530275390144382E-5
1.0E-5                   5.0E-6                   600                      2.1386007990798014E-5
1.0E-5                   5.0E-6                   700                      2.308864122871367E-5
1.0E-5                   5.0E-6                   800                      2.4671844680924098E-5
1.0E-5                   5.0E-6                   900                      2.6156201095043373E-5
1.0E-5                   5.0E-6                   1000                     2.7559657656809536E-5
1.0E-5                   5.0E-6                   2000                     3.892885353160026E-5
1.0E-5                   5.0E-6                   3000                     4.766272810955316E-5
1.0E-5                   5.0E-6                   4000                     5.500748186336423E-5
1.0E-5                   5.0E-6                   5000                     6.147258117948592E-5
1.0E-5                   5.0E-6                   6000                     6.73369269512033E-5
1.0E-5                   5.0E-6                   7000                     7.272939200492804E-5
1.0E-5                   5.0E-6                   8000                     7.773587627390453E-5
1.0E-5                   5.0E-6                   9000                     8.243263672797755E-5
1.0E-5                   5.0E-6                   10000                    8.686972336074313E-5
1.0E-5                   5.0E-6                   20000                    1.2172025593932877E-4
1.0E-5                   5.0E-6                   30000                    1.4423572953742468E-4
1.0E-5                   5.0E-6                   40000                    1.5819384016118812E-4
1.0E-5                   5.0E-6                   50000                    1.663936161084569E-4
1.0E-5                   5.0E-6                   60000                    1.7102148460233305E-4
1.0E-5                   5.0E-6                   70000                    1.7356968882769352E-4
1.0E-5                   5.0E-6                   80000                    1.7498869681899367E-4
1.0E-5                   5.0E-6                   90000                    1.7578935219605412E-4
1.0E-5                   5.0E-6                   100000                   1.762623114886889E-4
1.0E-5                   5.0E-6                   110000                   1.766033268298427E-4
1.0E-5                   5.0E-6                   120000                   1.7681512993074063E-4
1.0E-5                   5.0E-6                   130000                   1.76935246483116E-4
1.0E-5                   5.0E-6                   140000                   1.7701735697309287E-4
1.0E-5                   5.0E-6                   150000                   1.7705408473181786E-4
1.0E-5                   5.0E-6                   160000                   1.7707814331808632E-4
1.0E-5                   5.0E-6                   170000                   1.770791119348584E-4
1.0E-5                   5.0E-6                   180000                   1.7708095567319906E-4
1.0E-5                   5.0E-6                   190000                   1.7707566996342787E-4
1.0E-5                   5.0E-6                   200000                   1.7707166594596553E-4
1.0E-5                   1.25E-5                  0                        0
1.0E-5                   1.25E-5                  0.1                      0
1.0E-5                   1.25E-5                  0.2                      0
1.0E-5                   1.25E-5                  0.30000000000000004      0
1.0E-5                   1.25E-5                  0.4                      0
1.0E-5                   1.25E-5                  0.5                      0
1.0E-5                   1.25E-5                  0.6000000000000001       0
1.0E-5                   1.25E-5                  0.7000000000000001       0
1.0E-5                   1.25E-5                  0.8                      0
1.0E-5                   1.25E-5                  0.9                      0
1.0E-5                   1.25E-5                  1                        1.0036915871963955E-6
1.0E-5                   1.25E-5                  1.1                      1.8758207387332287E-6
1.0E-5                   1.25E-5                  1.2000000000000002       1.8915299292854612E-6
1.0E-5                   1.25E-5                  1.3                      1.9070559093375428E-6
1.0E-5                   1.25E-5                  1.4000000000000001       1.9224968078558084E-6
1.0E-5                   1.25E-5                  1.5                      1.937868840986496E-6
1.0E-5                   1.25E-5                  1.6                      1.953187872746477E-6
1.0E-5                   1.25E-5                  1.7000000000000002       1.9683785650666582E-6
1.0E-5                   1.25E-5                  1.8                      1.9834980238043546E-6
1.0E-5                   1.25E-5                  1.9000000000000001       1.9985706430010975E-6
1.0E-5                   1.25E-5                  2                        2.01359652059827E-6
1.0E-5                   1.25E-5                  5                        2.4361224272816317E-6
1.0E-5                   1.25E-5                  10                       3.053824165635121E-6
1.0E-5                   1.25E-5                  100                      8.924339176062148E-6
1.0E-5                   1.25E-5                  100                      8.924339176062148E-6
1.0E-5                   1.25E-5                  200                      1.2603018789263192E-5
1.0E-5                   1.25E-5                  300                      1.5387070136028404E-5
1.0E-5                   1.25E-5                  400                      1.7727944357692097E-5
1.0E-5                   1.25E-5                  500                      1.9790707469423924E-5
1.0E-5                   1.25E-5                  600                      2.1647174789557697E-5
1.0E-5                   1.25E-5                  700                      2.3350095334413105E-5
1.0E-5                   1.25E-5                  800                      2.4933438441202753E-5
1.0E-5                   1.25E-5                  900                      2.6417887834209256E-5
1.0E-5                   1.25E-5                  1000                     2.78214320871359E-5
1.0E-5                   1.25E-5                  2000                     3.91916587024674E-5
1.0E-5                   1.25E-5                  3000                     4.7925934021305E-5
1.0E-5                   1.25E-5                  4000                     5.5270754307971503E-5
1.0E-5                   1.25E-5                  5000                     6.17361056482268E-5
1.0E-5                   1.25E-5                  6000                     6.760077518296136E-5
1.0E-5                   1.25E-5                  7000                     7.299307971448201E-5
1.0E-5                   1.25E-5                  8000                     7.799950997098446E-5
1.0E-5                   1.25E-5                  9000                     8.269624412422368E-5
1.0E-5                   1.25E-5                  10000                    8.71334859516275E-5
1.0E-5                   1.25E-5                  20000                    1.2198454721692614E-4
1.0E-5                   1.25E-5                  30000                    1.4450032343773963E-4
1.0E-5                   1.25E-5                  40000                    1.584585784057422E-4
1.0E-5                   1.25E-5                  50000                    1.6665814495812268E-4
1.0E-5                   1.25E-5                  60000                    1.7128615899626197E-4
1.0E-5                   1.25E-5                  70000                    1.7383475569375507E-4
1.0E-5                   1.25E-5                  80000                    1.7525405450418736E-4
1.0E-5                   1.25E-5                  90000                    1.7605800866210176E-4
1.0E-5                   1.25E-5                  100000                   1.765294511545255E-4
1.0E-5                   1.25E-5                  110000                   1.7687072234234404E-4
1.0E-5                   1.25E-5                  120000                   1.770821277221078E-4
1.0E-5                   1.25E-5                  130000                   1.7720186506366568E-4
1.0E-5                   1.25E-5                  140000                   1.7728361886256872E-4
1.0E-5                   1.25E-5                  150000                   1.7732017650067393E-4
1.0E-5                   1.25E-5                  160000                   1.7734389783028681E-4
1.0E-5                   1.25E-5                  170000                   1.7734472645108477E-4
1.0E-5                   1.25E-5                  180000                   1.7734641565288363E-4
1.0E-5                   1.25E-5                  190000                   1.7734103403618256E-4
1.0E-5                   1.25E-5                  200000                   1.7733699422981843E-4
1.0E-5                   2.0E-5                   0                        0
1.0E-5                   2.0E-5                   0.1                      0
1.0E-5                   2.0E-5                   0.2                      0
1.0E-5                   2.0E-5                   0.30000000000000004      0
1.0E-5                   2.0E-5                   0.4                      0
1.0E-5                   2.0E-5                   0.5                      0
1.0E-5                   2.0E-5                   0.6000000000000001       0
1.0E-5                   2.0E-5                   0.7000000000000001       0
1.0E-5                   2.0E-5                   0.8                      0
1.0E-5                   2.0E-5                   0.9                      0
1.0E-5                   2.0E-5                   1                        1.015265215156725E-6
1.0E-5                   2.0E-5                   1.1                      1.8887873069582E-6
1.0E-5                   2.0E-5                   1.2000000000000002       1.9050620386655266E-6
