% Model:              C52_3D_base_unit_cell_recesses(cylindrical pillar).mph
% Version:            COMSOL 5.2.0.220
% Date:               Aug 4 2026, 20:36
% Table:              Table 4 - Global Evaluation 2 (n_CO2_film)
% R_texture (m)          H_texture (m)            t (s)                    Total moles of CO2 captured per unit cell (mol)
5.0E-6                   5.0E-6                   0                        0
5.0E-6                   5.0E-6                   0.1                      0
5.0E-6                   5.0E-6                   0.2                      0
5.0E-6                   5.0E-6                   0.30000000000000004      0
5.0E-6                   5.0E-6                   0.4                      0
5.0E-6                   5.0E-6                   0.5                      0
5.0E-6                   5.0E-6                   0.6000000000000001       0
5.0E-6                   5.0E-6                   0.7000000000000001       0
5.0E-6                   5.0E-6                   0.8                      0
5.0E-6                   5.0E-6                   0.9                      0
5.0E-6                   5.0E-6                   1                        9.327315254045206E-7
5.0E-6                   5.0E-6                   1.1                      1.736488860790767E-6
5.0E-6                   5.0E-6                   1.2000000000000002       1.7521149261786338E-6
5.0E-6                   5.0E-6                   1.3                      1.7676519759103847E-6
5.0E-6                   5.0E-6                   1.4000000000000001       1.7830875589965856E-6
5.0E-6                   5.0E-6                   1.5                      1.798446233083692E-6
5.0E-6                   5.0E-6                   1.6                      1.813746533788132E-6
5.0E-6                   5.0E-6                   1.7000000000000002       1.82894673974944E-6
5.0E-6                   5.0E-6                   1.8                      1.8440800722342944E-6
5.0E-6                   5.0E-6                   1.9000000000000001       1.8591600874145852E-6
5.0E-6                   5.0E-6                   2                        1.8740748579760553E-6
5.0E-6                   5.0E-6                   5                        2.294364212480312E-6
5.0E-6                   5.0E-6                   10                       2.9012625868523113E-6
5.0E-6                   5.0E-6                   100                      8.641779113601138E-6
5.0E-6                   5.0E-6                   100                      8.641779113601138E-6
5.0E-6                   5.0E-6                   200                      1.2270841159585075E-5
5.0E-6                   5.0E-6                   300                      1.5035037309233576E-5
5.0E-6                   5.0E-6                   400                      1.736745871017718E-5
5.0E-6                   5.0E-6                   500                      1.941837986863674E-5
5.0E-6                   5.0E-6                   600                      2.1271212703195826E-5
5.0E-6                   5.0E-6                   700                      2.297665537959494E-5
5.0E-6                   5.0E-6                   800                      2.4564174848313332E-5
5.0E-6                   5.0E-6                   900                      2.605356187212246E-5
5.0E-6                   5.0E-6                   1000                     2.746148784004016E-5
5.0E-6                   5.0E-6                   2000                     3.883487571643026E-5
5.0E-6                   5.0E-6                   3000                     4.755850183245921E-5
5.0E-6                   5.0E-6                   4000                     5.491749128720502E-5
5.0E-6                   5.0E-6                   5000                     6.139538742819752E-5
5.0E-6                   5.0E-6                   6000                     6.724946181641727E-5
5.0E-6                   5.0E-6                   7000                     7.263778369292113E-5
5.0E-6                   5.0E-6                   8000                     7.76503363492517E-5
5.0E-6                   5.0E-6                   9000                     8.235229879106973E-5
5.0E-6                   5.0E-6                   10000                    8.679615483929076E-5
5.0E-6                   5.0E-6                   20000                    1.2164421264907543E-4
5.0E-6                   5.0E-6                   30000                    1.4414498117695188E-4
5.0E-6                   5.0E-6                   40000                    1.5807717377844412E-4
5.0E-6                   5.0E-6                   50000                    1.6624312173712223E-4
5.0E-6                   5.0E-6                   60000                    1.7090182029166274E-4
5.0E-6                   5.0E-6                   70000                    1.7347642784302093E-4
5.0E-6                   5.0E-6                   80000                    1.7489015216859988E-4
5.0E-6                   5.0E-6                   90000                    1.757084782080788E-4
5.0E-6                   5.0E-6                   100000                   1.7619990777053817E-4
5.0E-6                   5.0E-6                   110000                   1.7650905880302483E-4
5.0E-6                   5.0E-6                   120000                   1.7670164277271716E-4
5.0E-6                   5.0E-6                   130000                   1.768297259904789E-4
5.0E-6                   5.0E-6                   140000                   1.768924370002801E-4
5.0E-6                   5.0E-6                   150000                   1.7693258894991936E-4
5.0E-6                   5.0E-6                   160000                   1.7693918749099453E-4
5.0E-6                   5.0E-6                   170000                   1.7694466234676866E-4
5.0E-6                   5.0E-6                   180000                   1.7693892448530956E-4
5.0E-6                   5.0E-6                   190000                   1.7693552559375442E-4
5.0E-6                   5.0E-6                   200000                   1.7693011108645877E-4
5.0E-6                   1.25E-5                  0                        0
5.0E-6                   1.25E-5                  0.1                      0
5.0E-6                   1.25E-5                  0.2                      0
5.0E-6                   1.25E-5                  0.30000000000000004      0
5.0E-6                   1.25E-5                  0.4                      0
5.0E-6                   1.25E-5                  0.5                      0
5.0E-6                   1.25E-5                  0.6000000000000001       0
5.0E-6                   1.25E-5                  0.7000000000000001       0
5.0E-6                   1.25E-5                  0.8                      0
5.0E-6                   1.25E-5                  0.9                      0
5.0E-6                   1.25E-5                  1                        9.448917962936971E-7
5.0E-6                   1.25E-5                  1.1                      1.7578588592850805E-6
5.0E-6                   1.25E-5                  1.2000000000000002       1.7738013063105252E-6
5.0E-6                   1.25E-5                  1.3                      1.7896424202297936E-6
5.0E-6                   1.25E-5                  1.4000000000000001       1.8053730461399533E-6
5.0E-6                   1.25E-5                  1.5                      1.8210179745985755E-6
5.0E-6                   1.25E-5                  1.6                      1.83660006916018E-6
5.0E-6                   1.25E-5                  1.7000000000000002       1.8520712568797082E-6
5.0E-6                   1.25E-5                  1.8                      1.8674717566064516E-6
5.0E-6                   1.25E-5                  1.9000000000000001       1.8828154119056007E-6
5.0E-6                   1.25E-5                  2                        1.8980435717907943E-6
5.0E-6                   1.25E-5                  5                        2.324334185248376E-6
5.0E-6                   1.25E-5                  10                       2.9361939854763345E-6
5.0E-6                   1.25E-5                  100                      8.695158897415083E-6
5.0E-6                   1.25E-5                  100                      8.695158897415083E-6
5.0E-6                   1.25E-5                  200                      1.2324921669234306E-5
5.0E-6                   1.25E-5                  300                      1.5087705668388503E-5
5.0E-6                   1.25E-5                  400                      1.741245428121799E-5
5.0E-6                   1.25E-5                  500                      1.946812523340885E-5
5.0E-6                   1.25E-5                  600                      2.132083240883039E-5
5.0E-6                   1.25E-5                  700                      2.3023033899713958E-5
5.0E-6                   1.25E-5                  800                      2.4611645638850223E-5
5.0E-6                   1.25E-5                  900                      2.610371085012675E-5
5.0E-6                   1.25E-5                  1000                     2.751285349715714E-5
5.0E-6                   1.25E-5                  2000                     3.887468994912111E-5
5.0E-6                   1.25E-5                  3000                     4.7590431203775665E-5
5.0E-6                   1.25E-5                  4000                     5.493452174896347E-5
5.0E-6                   1.25E-5                  5000                     6.141985765866403E-5
5.0E-6                   1.25E-5                  6000                     6.72823262674402E-5
5.0E-6                   1.25E-5                  7000                     7.267103142318999E-5
5.0E-6                   1.25E-5                  8000                     7.768294448853964E-5
5.0E-6                   1.25E-5                  9000                     8.238881696594289E-5
5.0E-6                   1.25E-5                  10000                    8.682903692105368E-5
5.0E-6                   1.25E-5                  20000                    1.2166145503646215E-4
5.0E-6                   1.25E-5                  30000                    1.4418199748992354E-4
5.0E-6                   1.25E-5                  40000                    1.5826884620267093E-4
5.0E-6                   1.25E-5                  50000                    1.6664152504998312E-4
5.0E-6                   1.25E-5                  60000                    1.7138151890856853E-4
5.0E-6                   1.25E-5                  70000                    1.7386220642031313E-4
5.0E-6                   1.25E-5                  80000                    1.7511154139410314E-4
5.0E-6                   1.25E-5                  90000                    1.7571219653269725E-4
5.0E-6                   1.25E-5                  100000                   1.7615727720283027E-4
5.0E-6                   1.25E-5                  110000                   1.7662900627359225E-4
5.0E-6                   1.25E-5                  120000                   1.7697901192302047E-4
5.0E-6                   1.25E-5                  130000                   1.772143006866119E-4
5.0E-6                   1.25E-5                  140000                   1.772346446615166E-4
5.0E-6                   1.25E-5                  150000                   1.771816895182375E-4
5.0E-6                   1.25E-5                  160000                   1.7713793052256472E-4
5.0E-6                   1.25E-5                  170000                   1.7708665604032026E-4
5.0E-6                   1.25E-5                  180000                   1.7704938256470345E-4
5.0E-6                   1.25E-5                  190000                   1.77023582224695E-4
5.0E-6                   1.25E-5                  200000                   1.7700616393790948E-4
5.0E-6                   2.0E-5                   0                        0
5.0E-6                   2.0E-5                   0.1                      0
5.0E-6                   2.0E-5                   0.2                      0
5.0E-6                   2.0E-5                   0.30000000000000004      0
5.0E-6                   2.0E-5                   0.4                      0
5.0E-6                   2.0E-5                   0.5                      0
5.0E-6                   2.0E-5                   0.6000000000000001       0
5.0E-6                   2.0E-5                   0.7000000000000001       0
5.0E-6                   2.0E-5                   0.8                      0
5.0E-6                   2.0E-5                   0.9                      0
5.0E-6                   2.0E-5                   1                        9.685716416704245E-7
5.0E-6                   2.0E-5                   1.1                      1.8015090947588799E-6
5.0E-6                   2.0E-5                   1.2000000000000002       1.817568960682051E-6
5.0E-6                   2.0E-5                   1.3                      1.8335232357229056E-6
5.0E-6                   2.0E-5                   1.4000000000000001       1.8493613539537E-6
5.0E-6                   2.0E-5                   1.5                      1.8651109464725339E-6
5.0E-6                   2.0E-5                   1.6                      1.8807952954817805E-6
5.0E-6                   2.0E-5                   1.7000000000000002       1.8963628097425373E-6
5.0E-6                   2.0E-5                   1.8                      1.911858326994594E-6
5.0E-6                   2.0E-5                   1.9000000000000001       1.9272951637560634E-6
5.0E-6                   2.0E-5                   2                        1.942609935610107E-6
5.0E-6                   2.0E-5                   5                        2.3706277543506533E-6
5.0E-6                   2.0E-5                   10                       2.983726426203079E-6
5.0E-6                   2.0E-5                   100                      8.747409967845209E-6
5.0E-6                   2.0E-5                   100                      8.747409967845209E-6
5.0E-6                   2.0E-5                   200                      1.2381248829580193E-5
5.0E-6                   2.0E-5                   300                      1.5143242517658693E-5
5.0E-6                   2.0E-5                   400                      1.747151278843014E-5
5.0E-6                   2.0E-5                   500                      1.952513862600247E-5
5.0E-6                   2.0E-5                   600                      2.137910537244638E-5
5.0E-6                   2.0E-5                   700                      2.3081840946962824E-5
5.0E-6                   2.0E-5                   800                      2.466802945724578E-5
5.0E-6                   2.0E-5                   900                      2.615859961550811E-5
5.0E-6                   2.0E-5                   1000                     2.756840372891169E-5
5.0E-6                   2.0E-5                   2000                     3.894108297883203E-5
5.0E-6                   2.0E-5                   3000                     4.7660690288296536E-5
5.0E-6                   2.0E-5                   4000                     5.501850846401795E-5
5.0E-6                   2.0E-5                   5000                     6.150123731063742E-5
5.0E-6                   2.0E-5                   6000                     6.736157438172937E-5
5.0E-6                   2.0E-5                   7000                     7.274608562571126E-5
5.0E-6                   2.0E-5                   8000                     7.775695049309788E-5
5.0E-6                   2.0E-5                   9000                     8.24554620596517E-5
5.0E-6                   2.0E-5                   10000                    8.689516520535681E-5
5.0E-6                   2.0E-5                   20000                    1.2173534983928069E-4
5.0E-6                   2.0E-5                   30000                    1.4424975248794776E-4
5.0E-6                   2.0E-5                   40000                    1.582249737378591E-4
5.0E-6                   2.0E-5                   50000                    1.664198525656132E-4
5.0E-6                   2.0E-5                   60000                    1.7104482692148186E-4
5.0E-6                   2.0E-5                   70000                    1.7353260378175997E-4
5.0E-6                   2.0E-5                   80000                    1.7483250241487528E-4
5.0E-6                   2.0E-5                   90000                    1.7561286895485052E-4
5.0E-6                   2.0E-5                   100000                   1.7604946384552932E-4
5.0E-6                   2.0E-5                   110000                   1.7643001688004612E-4
5.0E-6                   2.0E-5                   120000                   1.7666239699097474E-4
5.0E-6                   2.0E-5                   130000                   1.7676650096501922E-4
5.0E-6                   2.0E-5                   140000                   1.7685852217017017E-4
5.0E-6                   2.0E-5                   150000                   1.7690591436392378E-4
5.0E-6                   2.0E-5                   160000                   1.7694783748949127E-4
5.0E-6                   2.0E-5                   170000                   1.7696951417182056E-4
5.0E-6                   2.0E-5                   180000                   1.769886922792866E-4
5.0E-6                   2.0E-5                   190000                   1.769986110930039E-4
5.0E-6                   2.0E-5                   200000                   1.7700738722129176E-4
5.0E-6                   2.75E-5                  0                        0
5.0E-6                   2.75E-5                  0.1                      0
5.0E-6                   2.75E-5                  0.2                      0
5.0E-6                   2.75E-5                  0.30000000000000004      0
5.0E-6                   2.75E-5                  0.4                      0
5.0E-6                   2.75E-5                  0.5                      0
5.0E-6                   2.75E-5                  0.6000000000000001       0
5.0E-6                   2.75E-5                  0.7000000000000001       0
5.0E-6                   2.75E-5                  0.8                      0
5.0E-6                   2.75E-5                  0.9                      0
5.0E-6                   2.75E-5                  1                        9.86056754923948E-7
5.0E-6                   2.75E-5                  1.1                      1.8341515084311303E-6
5.0E-6                   2.75E-5                  1.2000000000000002       1.8504836088503037E-6
5.0E-6                   2.75E-5                  1.3                      1.8667068479265073E-6
5.0E-6                   2.75E-5                  1.4000000000000001       1.8828055905446032E-6
5.0E-6                   2.75E-5                  1.5                      1.8988144125726704E-6
5.0E-6                   2.75E-5                  1.6                      1.914753703061474E-6
5.0E-6                   2.75E-5                  1.7000000000000002       1.930565202611773E-6
5.0E-6                   2.75E-5                  1.8                      1.946306400188107E-6
5.0E-6                   2.75E-5                  1.9000000000000001       1.961974149043333E-6
5.0E-6                   2.75E-5                  2                        1.9774323722890034E-6
5.0E-6                   2.75E-5                  5                        2.4104806736457624E-6
5.0E-6                   2.75E-5                  10                       3.0293894807468774E-6
5.0E-6                   2.75E-5                  100                      8.796744460834902E-6
5.0E-6                   2.75E-5                  100                      8.796744460834902E-6
5.0E-6                   2.75E-5                  200                      1.243288553011521E-5
5.0E-6                   2.75E-5                  300                      1.5198631149613822E-5
5.0E-6                   2.75E-5                  400                      1.7518925189693318E-5
5.0E-6                   2.75E-5                  500                      1.956996649742199E-5
5.0E-6                   2.75E-5                  600                      2.1428849404139956E-5
5.0E-6                   2.75E-5                  700                      2.313081584273939E-5
5.0E-6                   2.75E-5                  800                      2.471403288472403E-5
5.0E-6                   2.75E-5                  900                      2.6206098287551908E-5
5.0E-6                   2.75E-5                  1000                     2.761779133279569E-5
5.0E-6                   2.75E-5                  2000                     3.8974153208429616E-5
5.0E-6                   2.75E-5                  3000                     4.770327570596303E-5
5.0E-6                   2.75E-5                  4000                     5.504338429772678E-5
5.0E-6                   2.75E-5                  5000                     6.152116372355912E-5
5.0E-6                   2.75E-5                  6000                     6.738352598944569E-5
5.0E-6                   2.75E-5                  7000                     7.277397561268235E-5
5.0E-6                   2.75E-5                  8000                     7.778925479270885E-5
5.0E-6                   2.75E-5                  9000                     8.249252257738662E-5
5.0E-6                   2.75E-5                  10000                    8.693747350895982E-5
5.0E-6                   2.75E-5                  20000                    1.2178135628618287E-4
5.0E-6                   2.75E-5                  30000                    1.4428605169888094E-4
5.0E-6                   2.75E-5                  40000                    1.5839986570552453E-4
5.0E-6                   2.75E-5                  50000                    1.6683222736872666E-4
5.0E-6                   2.75E-5                  60000                    1.7163174276290264E-4
5.0E-6                   2.75E-5                  70000                    1.7426074862487122E-4
5.0E-6                   2.75E-5                  80000                    1.75752180495689E-4
5.0E-6                   2.75E-5                  90000                    1.764970460822555E-4
5.0E-6                   2.75E-5                  100000                   1.767888751931426E-4
5.0E-6                   2.75E-5                  110000                   1.768964647607181E-4
5.0E-6                   2.75E-5                  120000                   1.7694855737214715E-4
5.0E-6                   2.75E-5                  130000                   1.7698389331065198E-4
5.0E-6                   2.75E-5                  140000                   1.7701726428801881E-4
5.0E-6                   2.75E-5                  150000                   1.7703347438650696E-4
5.0E-6                   2.75E-5                  160000                   1.7704878086234144E-4
5.0E-6                   2.75E-5                  170000                   1.770561814721314E-4
5.0E-6                   2.75E-5                  180000                   1.7706316989204938E-4
5.0E-6                   2.75E-5                  190000                   1.77066549130807E-4
5.0E-6                   2.75E-5                  200000                   1.7706974020749984E-4
5.0E-6                   3.5000000000000004E-5    0                        0
5.0E-6                   3.5000000000000004E-5    0.1                      0
5.0E-6                   3.5000000000000004E-5    0.2                      0
5.0E-6                   3.5000000000000004E-5    0.30000000000000004      0
5.0E-6                   3.5000000000000004E-5    0.4                      0
5.0E-6                   3.5000000000000004E-5    0.5                      0
5.0E-6                   3.5000000000000004E-5    0.6000000000000001       0
5.0E-6                   3.5000000000000004E-5    0.7000000000000001       0
5.0E-6                   3.5000000000000004E-5    0.8                      0
5.0E-6                   3.5000000000000004E-5    0.9                      0
5.0E-6                   3.5000000000000004E-5    1                        9.537618282009186E-7
5.0E-6                   3.5000000000000004E-5    1.1                      1.7763798578505925E-6
5.0E-6                   3.5000000000000004E-5    1.2000000000000002       1.793609150382264E-6
5.0E-6                   3.5000000000000004E-5    1.3                      1.8107191083890382E-6
5.0E-6                   3.5000000000000004E-5    1.4000000000000001       1.827685786712321E-6
5.0E-6                   3.5000000000000004E-5    1.5                      1.8445576248528996E-6
5.0E-6                   3.5000000000000004E-5    1.6                      1.8613502221837714E-6
5.0E-6                   3.5000000000000004E-5    1.7000000000000002       1.87799480676595E-6
5.0E-6                   3.5000000000000004E-5    1.8                      1.8945691395652306E-6
5.0E-6                   3.5000000000000004E-5    1.9000000000000001       1.9110285432684505E-6
5.0E-6                   3.5000000000000004E-5    2                        1.9272904928937544E-6
5.0E-6                   3.5000000000000004E-5    5                        2.3807123359313855E-6
5.0E-6                   3.5000000000000004E-5    10                       3.022704219751837E-6
5.0E-6                   3.5000000000000004E-5    100                      8.85273842795852E-6
5.0E-6                   3.5000000000000004E-5    100                      8.85273842795852E-6
5.0E-6                   3.5000000000000004E-5    200                      1.2487274957331769E-5
5.0E-6                   3.5000000000000004E-5    300                      1.5250320039077416E-5
5.0E-6                   3.5000000000000004E-5    400                      1.7570432066952718E-5
5.0E-6                   3.5000000000000004E-5    500                      1.9622964262174353E-5
5.0E-6                   3.5000000000000004E-5    600                      2.148117076423798E-5
5.0E-6                   3.5000000000000004E-5    700                      2.3181915275326576E-5
5.0E-6                   3.5000000000000004E-5    800                      2.476672839303777E-5
5.0E-6                   3.5000000000000004E-5    900                      2.6258417890951747E-5
5.0E-6                   3.5000000000000004E-5    1000                     2.7670166384359823E-5
