% Model:              C52_3D_base_unit_cell_recesses(squarerecesses).mph
% Version:            COMSOL 5.2.0.220
% Date:               Jul 27 2026, 17:39
% Table:              Table 3 - Global Evaluation 3 (n_CO2_film)
% R_texture (m)          H_texture (m)            t (s)                    Total moles of CO2 captured per unit cell (mol)
5.0E-6                   5.0E-6                   0                        0
5.0E-6                   5.0E-6                   0.1                      0
5.0E-6                   5.0E-6                   0.2                      0
5.0E-6                   5.0E-6                   0.30000000000000004      0
5.0E-6                   5.0E-6                   0.4                      0
5.0E-6                   5.0E-6                   0.5                      0
5.0E-6                   5.0E-6                   0.6000000000000001       0
5.0E-6                   5.0E-6                   0.7000000000000001       0
5.0E-6                   5.0E-6                   0.8                      0
5.0E-6                   5.0E-6                   0.9                      0
5.0E-6                   5.0E-6                   1                        9.504624554057492E-7
5.0E-6                   5.0E-6                   1.1                      1.7796616312637683E-6
5.0E-6                   5.0E-6                   1.2000000000000002       1.7947761751023858E-6
5.0E-6                   5.0E-6                   1.3                      1.8099101085013447E-6
5.0E-6                   5.0E-6                   1.4000000000000001       1.824956393962202E-6
5.0E-6                   5.0E-6                   1.5                      1.8399381187857518E-6
5.0E-6                   5.0E-6                   1.6                      1.854867662190532E-6
5.0E-6                   5.0E-6                   1.7000000000000002       1.8696622762859166E-6
5.0E-6                   5.0E-6                   1.8                      1.8843942014174491E-6
5.0E-6                   5.0E-6                   1.9000000000000001       1.8990801319784982E-6
5.0E-6                   5.0E-6                   2                        1.913720158464227E-6
5.0E-6                   5.0E-6                   5                        2.325080774920187E-6
5.0E-6                   5.0E-6                   10                       2.9260567130889323E-6
5.0E-6                   5.0E-6                   100                      8.659193149803033E-6
5.0E-6                   5.0E-6                   100                      8.659193149803033E-6
5.0E-6                   5.0E-6                   200                      1.2291733806037479E-5
5.0E-6                   5.0E-6                   300                      1.5062633231001063E-5
5.0E-6                   5.0E-6                   400                      1.7400003523200008E-5
5.0E-6                   5.0E-6                   500                      1.9462453499865483E-5
5.0E-6                   5.0E-6                   600                      2.131987910314619E-5
5.0E-6                   5.0E-6                   700                      2.302411673623997E-5
5.0E-6                   5.0E-6                   800                      2.4608671512621014E-5
5.0E-6                   5.0E-6                   900                      2.609434077304835E-5
5.0E-6                   5.0E-6                   1000                     2.7499061028313542E-5
5.0E-6                   5.0E-6                   2000                     3.887696686896087E-5
5.0E-6                   5.0E-6                   3000                     4.761565256992647E-5
5.0E-6                   5.0E-6                   4000                     5.496318468998051E-5
5.0E-6                   5.0E-6                   5000                     6.143094362578061E-5
5.0E-6                   5.0E-6                   6000                     6.72977399629397E-5
5.0E-6                   5.0E-6                   7000                     7.269089130395237E-5
5.0E-6                   5.0E-6                   8000                     7.769818636342776E-5
5.0E-6                   5.0E-6                   9000                     8.239564849761811E-5
5.0E-6                   5.0E-6                   10000                    8.6833785823904E-5
5.0E-6                   5.0E-6                   20000                    1.2167894417582073E-4
5.0E-6                   5.0E-6                   30000                    1.4416591311344504E-4
5.0E-6                   5.0E-6                   40000                    1.580865343701898E-4
5.0E-6                   5.0E-6                   50000                    1.662505713055753E-4
5.0E-6                   5.0E-6                   60000                    1.708511201678645E-4
5.0E-6                   5.0E-6                   70000                    1.7338026242511384E-4
5.0E-6                   5.0E-6                   80000                    1.7478731275571627E-4
5.0E-6                   5.0E-6                   90000                    1.7559029489135276E-4
5.0E-6                   5.0E-6                   100000                   1.760541062174918E-4
5.0E-6                   5.0E-6                   110000                   1.763928101777114E-4
5.0E-6                   5.0E-6                   120000                   1.7660159586795684E-4
5.0E-6                   5.0E-6                   130000                   1.7671954036701593E-4
5.0E-6                   5.0E-6                   140000                   1.7679976545644126E-4
5.0E-6                   5.0E-6                   150000                   1.7683556366654844E-4
5.0E-6                   5.0E-6                   160000                   1.7685830266601896E-4
5.0E-6                   5.0E-6                   170000                   1.7685878694358604E-4
5.0E-6                   5.0E-6                   180000                   1.768600969935385E-4
5.0E-6                   5.0E-6                   190000                   1.7685455263212222E-4
5.0E-6                   5.0E-6                   200000                   1.7685047105342033E-4
5.0E-6                   1.25E-5                  0                        0
5.0E-6                   1.25E-5                  0.1                      0
5.0E-6                   1.25E-5                  0.2                      0
5.0E-6                   1.25E-5                  0.30000000000000004      0
5.0E-6                   1.25E-5                  0.4                      0
5.0E-6                   1.25E-5                  0.5                      0
5.0E-6                   1.25E-5                  0.6000000000000001       0
5.0E-6                   1.25E-5                  0.7000000000000001       0
5.0E-6                   1.25E-5                  0.8                      0
5.0E-6                   1.25E-5                  0.9                      0
5.0E-6                   1.25E-5                  1                        9.434765958362401E-7
5.0E-6                   1.25E-5                  1.1                      1.765611478156362E-6
5.0E-6                   1.25E-5                  1.2000000000000002       1.7814132908029224E-6
5.0E-6                   1.25E-5                  1.3                      1.7970316077293971E-6
5.0E-6                   1.25E-5                  1.4000000000000001       1.8125550717228037E-6
5.0E-6                   1.25E-5                  1.5                      1.828003243547967E-6
5.0E-6                   1.25E-5                  1.6                      1.8433939746975447E-6
5.0E-6                   1.25E-5                  1.7000000000000002       1.858639628259619E-6
5.0E-6                   1.25E-5                  1.8                      1.8738090274183483E-6
5.0E-6                   1.25E-5                  1.9000000000000001       1.8889284002238705E-6
5.0E-6                   1.25E-5                  2                        1.903997865676975E-6
5.0E-6                   1.25E-5                  5                        2.327500322811594E-6
5.0E-6                   1.25E-5                  10                       2.9374384091429664E-6
5.0E-6                   1.25E-5                  100                      8.728298145475398E-6
5.0E-6                   1.25E-5                  100                      8.728298145475398E-6
5.0E-6                   1.25E-5                  200                      1.239987375671868E-5
5.0E-6                   1.25E-5                  300                      1.5201280661332144E-5
5.0E-6                   1.25E-5                  400                      1.7548699556468047E-5
5.0E-6                   1.25E-5                  500                      1.9620393646612992E-5
5.0E-6                   1.25E-5                  600                      2.1494605000062578E-5
5.0E-6                   1.25E-5                  700                      2.3215996916076522E-5
5.0E-6                   1.25E-5                  800                      2.481547183931664E-5
5.0E-6                   1.25E-5                  900                      2.631653769290415E-5
5.0E-6                   1.25E-5                  1000                     2.7737557766293414E-5
5.0E-6                   1.25E-5                  2000                     3.918992633777763E-5
5.0E-6                   1.25E-5                  3000                     4.7966781402794454E-5
5.0E-6                   1.25E-5                  4000                     5.53508697345684E-5
5.0E-6                   1.25E-5                  5000                     6.185881468409121E-5
5.0E-6                   1.25E-5                  6000                     6.774004010698801E-5
5.0E-6                   1.25E-5                  7000                     7.314555084985029E-5
5.0E-6                   1.25E-5                  8000                     7.817181763704869E-5
5.0E-6                   1.25E-5                  9000                     8.288649645399016E-5
5.0E-6                   1.25E-5                  10000                    8.734134676652157E-5
5.0E-6                   1.25E-5                  20000                    1.2216630470462348E-4
5.0E-6                   1.25E-5                  30000                    1.4461792261603632E-4
5.0E-6                   1.25E-5                  40000                    1.585971449499579E-4
5.0E-6                   1.25E-5                  50000                    1.6686732805000902E-4
5.0E-6                   1.25E-5                  60000                    1.715245337944105E-4
5.0E-6                   1.25E-5                  70000                    1.7391624918287337E-4
5.0E-6                   1.25E-5                  80000                    1.7504894902344264E-4
5.0E-6                   1.25E-5                  90000                    1.7553565002160164E-4
5.0E-6                   1.25E-5                  100000                   1.7591453237749454E-4
5.0E-6                   1.25E-5                  110000                   1.762047334676188E-4
5.0E-6                   1.25E-5                  120000                   1.765802319161659E-4
5.0E-6                   1.25E-5                  130000                   1.767068064084659E-4
5.0E-6                   1.25E-5                  140000                   1.7677163190899767E-4
5.0E-6                   1.25E-5                  150000                   1.7679110888765945E-4
5.0E-6                   1.25E-5                  160000                   1.7680450110282102E-4
5.0E-6                   1.25E-5                  170000                   1.7679936337807982E-4
5.0E-6                   1.25E-5                  180000                   1.7679195728458475E-4
5.0E-6                   1.25E-5                  190000                   1.7678533939299832E-4
5.0E-6                   1.25E-5                  200000                   1.7678198145942915E-4
5.0E-6                   2.0E-5                   0                        0
5.0E-6                   2.0E-5                   0.1                      0
5.0E-6                   2.0E-5                   0.2                      0
5.0E-6                   2.0E-5                   0.30000000000000004      0
5.0E-6                   2.0E-5                   0.4                      0
5.0E-6                   2.0E-5                   0.5                      0
5.0E-6                   2.0E-5                   0.6000000000000001       0
5.0E-6                   2.0E-5                   0.7000000000000001       0
5.0E-6                   2.0E-5                   0.8                      0
5.0E-6                   2.0E-5                   0.9                      0
5.0E-6                   2.0E-5                   1                        9.742803916327587E-7
5.0E-6                   2.0E-5                   1.1                      1.8229194879736993E-6
5.0E-6                   2.0E-5                   1.2000000000000002       1.8382171814976835E-6
5.0E-6                   2.0E-5                   1.3                      1.8533460738736053E-6
5.0E-6                   2.0E-5                   1.4000000000000001       1.868394796752781E-6
5.0E-6                   2.0E-5                   1.5                      1.8833783410743245E-6
5.0E-6                   2.0E-5                   1.6                      1.8983119621651376E-6
5.0E-6                   2.0E-5                   1.7000000000000002       1.913124412022121E-6
5.0E-6                   2.0E-5                   1.8                      1.9278694830602958E-6
5.0E-6                   2.0E-5                   1.9000000000000001       1.9425703154934893E-6
5.0E-6                   2.0E-5                   2                        1.957226991578369E-6
5.0E-6                   2.0E-5                   5                        2.3701926137352313E-6
5.0E-6                   2.0E-5                   10                       2.9761757969236334E-6
5.0E-6                   2.0E-5                   100                      8.80525042605644E-6
5.0E-6                   2.0E-5                   100                      8.80525042605644E-6
5.0E-6                   2.0E-5                   200                      1.2505514672773963E-5
5.0E-6                   2.0E-5                   300                      1.532954335627535E-5
5.0E-6                   2.0E-5                   400                      1.7712032381971093E-5
5.0E-6                   2.0E-5                   500                      1.981469513256924E-5
5.0E-6                   2.0E-5                   600                      2.1708875295427304E-5
5.0E-6                   2.0E-5                   700                      2.344646063054182E-5
5.0E-6                   2.0E-5                   800                      2.50620838793826E-5
5.0E-6                   2.0E-5                   900                      2.657619008992861E-5
5.0E-6                   2.0E-5                   1000                     2.8007183175475088E-5
5.0E-6                   2.0E-5                   2000                     3.958258483946857E-5
5.0E-6                   2.0E-5                   3000                     4.845316505430628E-5
5.0E-6                   2.0E-5                   4000                     5.589988800447681E-5
5.0E-6                   2.0E-5                   5000                     6.244333226416305E-5
5.0E-6                   2.0E-5                   6000                     6.837106093644449E-5
5.0E-6                   2.0E-5                   7000                     7.381912371764348E-5
5.0E-6                   2.0E-5                   8000                     7.887210623779978E-5
5.0E-6                   2.0E-5                   9000                     8.360820865932946E-5
5.0E-6                   2.0E-5                   10000                    8.807749800348229E-5
5.0E-6                   2.0E-5                   20000                    1.2300811014480555E-4
5.0E-6                   2.0E-5                   30000                    1.4529488170646668E-4
5.0E-6                   2.0E-5                   40000                    1.5891356746962237E-4
5.0E-6                   2.0E-5                   50000                    1.667912555163344E-4
5.0E-6                   2.0E-5                   60000                    1.7116070280707988E-4
5.0E-6                   2.0E-5                   70000                    1.7351706241793802E-4
5.0E-6                   2.0E-5                   80000                    1.7481446628815283E-4
5.0E-6                   2.0E-5                   90000                    1.7552283422527263E-4
5.0E-6                   2.0E-5                   100000                   1.7596426401416377E-4
5.0E-6                   2.0E-5                   110000                   1.762765755250609E-4
5.0E-6                   2.0E-5                   120000                   1.7647625473412624E-4
5.0E-6                   2.0E-5                   130000                   1.7660812639780702E-4
5.0E-6                   2.0E-5                   140000                   1.7667319992380838E-4
5.0E-6                   2.0E-5                   150000                   1.7671569656180883E-4
5.0E-6                   2.0E-5                   160000                   1.7672445450654518E-4
5.0E-6                   2.0E-5                   170000                   1.767311555692932E-4
5.0E-6                   2.0E-5                   180000                   1.7672617366088105E-4
5.0E-6                   2.0E-5                   190000                   1.767232972214153E-4
5.0E-6                   2.0E-5                   200000                   1.767181067999024E-4
5.0E-6                   2.75E-5                  0                        0
5.0E-6                   2.75E-5                  0.1                      0
5.0E-6                   2.75E-5                  0.2                      0
5.0E-6                   2.75E-5                  0.30000000000000004      0
5.0E-6                   2.75E-5                  0.4                      0
5.0E-6                   2.75E-5                  0.5                      0
5.0E-6                   2.75E-5                  0.6000000000000001       0
5.0E-6                   2.75E-5                  0.7000000000000001       0
5.0E-6                   2.75E-5                  0.8                      0
5.0E-6                   2.75E-5                  0.9                      0
5.0E-6                   2.75E-5                  1                        9.734778135431082E-7
5.0E-6                   2.75E-5                  1.1                      1.82169865948886E-6
5.0E-6                   2.75E-5                  1.2000000000000002       1.837417940951207E-6
5.0E-6                   2.75E-5                  1.3                      1.8529602373853392E-6
5.0E-6                   2.75E-5                  1.4000000000000001       1.8684153773694639E-6
5.0E-6                   2.75E-5                  1.5                      1.8838003446012052E-6
5.0E-6                   2.75E-5                  1.6                      1.8991315310635866E-6
5.0E-6                   2.75E-5                  1.7000000000000002       1.9143301484893785E-6
5.0E-6                   2.75E-5                  1.8                      1.9294569306852316E-6
5.0E-6                   2.75E-5                  1.9000000000000001       1.9445362884578426E-6
5.0E-6                   2.75E-5                  2                        1.9595683174234165E-6
5.0E-6                   2.75E-5                  5                        2.382015289320914E-6
5.0E-6                   2.75E-5                  10                       2.997794278422819E-6
5.0E-6                   2.75E-5                  100                      8.8799690533065E-6
5.0E-6                   2.75E-5                  100                      8.8799690533065E-6
5.0E-6                   2.75E-5                  200                      1.2614477629380191E-5
5.0E-6                   2.75E-5                  300                      1.5466886861384868E-5
5.0E-6                   2.75E-5                  400                      1.787422030967127E-5
5.0E-6                   2.75E-5                  500                      1.999970216566841E-5
5.0E-6                   2.75E-5                  600                      2.191590165263848E-5
5.0E-6                   2.75E-5                  700                      2.367399019001486E-5
5.0E-6                   2.75E-5                  800                      2.5308745396311432E-5
5.0E-6                   2.75E-5                  900                      2.6841079006889633E-5
5.0E-6                   2.75E-5                  1000                     2.8289598993458447E-5
5.0E-6                   2.75E-5                  2000                     4.001463873269203E-5
5.0E-6                   2.75E-5                  3000                     4.9002037369019116E-5
5.0E-6                   2.75E-5                  4000                     5.654540034405635E-5
5.0E-6                   2.75E-5                  5000                     6.316877437711055E-5
5.0E-6                   2.75E-5                  6000                     6.916382766747568E-5
5.0E-6                   2.75E-5                  7000                     7.467125725660219E-5
5.0E-6                   2.75E-5                  8000                     7.977516002494134E-5
5.0E-6                   2.75E-5                  9000                     8.455475359507666E-5
5.0E-6                   2.75E-5                  10000                    8.906041878575891E-5
5.0E-6                   2.75E-5                  20000                    1.2409705565250546E-4
5.0E-6                   2.75E-5                  30000                    1.4621522384776714E-4
5.0E-6                   2.75E-5                  40000                    1.5958392747934103E-4
5.0E-6                   2.75E-5                  50000                    1.672319001160778E-4
5.0E-6                   2.75E-5                  60000                    1.7142336697099805E-4
5.0E-6                   2.75E-5                  70000                    1.7364914365702744E-4
5.0E-6                   2.75E-5                  80000                    1.748645290962457E-4
5.0E-6                   2.75E-5                  90000                    1.7551311739011957E-4
5.0E-6                   2.75E-5                  100000                   1.7593373225399702E-4
5.0E-6                   2.75E-5                  110000                   1.7622719494609322E-4
5.0E-6                   2.75E-5                  120000                   1.7641685169895693E-4
5.0E-6                   2.75E-5                  130000                   1.7654338980422563E-4
5.0E-6                   2.75E-5                  140000                   1.7660519605591676E-4
5.0E-6                   2.75E-5                  150000                   1.7664705109617958E-4
5.0E-6                   2.75E-5                  160000                   1.7665563497201245E-4
5.0E-6                   2.75E-5                  170000                   1.7666276584627424E-4
5.0E-6                   2.75E-5                  180000                   1.7665820785427687E-4
5.0E-6                   2.75E-5                  190000                   1.7665578080979915E-4
5.0E-6                   2.75E-5                  200000                   1.7665093438695964E-4
5.0E-6                   3.5000000000000004E-5    0                        0
5.0E-6                   3.5000000000000004E-5    0.1                      0
5.0E-6                   3.5000000000000004E-5    0.2                      0
5.0E-6                   3.5000000000000004E-5    0.30000000000000004      0
5.0E-6                   3.5000000000000004E-5    0.4                      0
5.0E-6                   3.5000000000000004E-5    0.5                      0
5.0E-6                   3.5000000000000004E-5    0.6000000000000001       0
5.0E-6                   3.5000000000000004E-5    0.7000000000000001       0
5.0E-6                   3.5000000000000004E-5    0.8                      0
5.0E-6                   3.5000000000000004E-5    0.9                      0
5.0E-6                   3.5000000000000004E-5    1                        9.756544789292365E-7
5.0E-6                   3.5000000000000004E-5    1.1                      1.8257152495069061E-6
5.0E-6                   3.5000000000000004E-5    1.2000000000000002       1.8416394205224162E-6
5.0E-6                   3.5000000000000004E-5    1.3                      1.8573836425327843E-6
5.0E-6                   3.5000000000000004E-5    1.4000000000000001       1.873039084452389E-6
5.0E-6                   3.5000000000000004E-5    1.5                      1.8886231724527878E-6
5.0E-6                   3.5000000000000004E-5    1.6                      1.9041523971901035E-6
5.0E-6                   3.5000000000000004E-5    1.7000000000000002       1.9195465242156984E-6
5.0E-6                   3.5000000000000004E-5    1.8                      1.934867794084743E-6
5.0E-6                   3.5000000000000004E-5    1.9000000000000001       1.950140692413713E-6
5.0E-6                   3.5000000000000004E-5    2                        1.9653653176381234E-6
5.0E-6                   3.5000000000000004E-5    5                        2.3930514285609366E-6
5.0E-6                   3.5000000000000004E-5    10                       3.015931640229552E-6
5.0E-6                   3.5000000000000004E-5    100                      8.953132754554242E-6
5.0E-6                   3.5000000000000004E-5    100                      8.953132754554242E-6
5.0E-6                   3.5000000000000004E-5    200                      1.2724304064716047E-5
5.0E-6                   3.5000000000000004E-5    300                      1.561435386572256E-5
5.0E-6                   3.5000000000000004E-5    400                      1.803941380141445E-5
5.0E-6                   3.5000000000000004E-5    500                      2.01711587238236E-5
5.0E-6                   3.5000000000000004E-5    600                      2.2102068763230396E-5
5.0E-6                   3.5000000000000004E-5    700                      2.388553890567954E-5
5.0E-6                   3.5000000000000004E-5    800                      2.5546589029531594E-5
5.0E-6                   3.5000000000000004E-5    900                      2.7101906511626032E-5
5.0E-6                   3.5000000000000004E-5    1000                     2.8570079294803992E-5
5.0E-6                   3.5000000000000004E-5    2000                     4.0453837341603485E-5
5.0E-6                   3.5000000000000004E-5    3000                     4.9551217440827856E-5
5.0E-6                   3.5000000000000004E-5    4000                     5.721318202448778E-5
5.0E-6                   3.5000000000000004E-5    5000                     6.39301749089942E-5
5.0E-6                   3.5000000000000004E-5    6000                     6.99941735658808E-5
5.0E-6                   3.5000000000000004E-5    7000                     7.556253635076543E-5
5.0E-6                   3.5000000000000004E-5    8000                     8.073222032752498E-5
5.0E-6                   3.5000000000000004E-5    9000                     8.556993633849965E-5
5.0E-6                   3.5000000000000004E-5    10000                    9.012451933431804E-5
5.0E-6                   3.5000000000000004E-5    20000                    1.2525426349878707E-4
5.0E-6                   3.5000000000000004E-5    30000                    1.4715705832167608E-4
5.0E-6                   3.5000000000000004E-5    40000                    1.602496970967174E-4
5.0E-6                   3.5000000000000004E-5    50000                    1.676560212433468E-4
5.0E-6                   3.5000000000000004E-5    60000                    1.716654345983298E-4
5.0E-6                   3.5000000000000004E-5    70000                    1.7376455812063803E-4
5.0E-6                   3.5000000000000004E-5    80000                    1.7490450907551596E-4
5.0E-6                   3.5000000000000004E-5    90000                    1.755127070082609E-4
5.0E-6                   3.5000000000000004E-5    100000                   1.7590779648859838E-4
5.0E-6                   3.5000000000000004E-5    110000                   1.76187080753356E-4
5.0E-6                   3.5000000000000004E-5    120000                   1.7636693210553193E-4
5.0E-6                   3.5000000000000004E-5    130000                   1.764859130353525E-4
5.0E-6                   3.5000000000000004E-5    140000                   1.7654358021129595E-4
5.0E-6                   3.5000000000000004E-5    150000                   1.7658218566975062E-4
5.0E-6                   3.5000000000000004E-5    160000                   1.765896371776687E-4
5.0E-6                   3.5000000000000004E-5    170000                   1.7659578397919063E-4
5.0E-6                   3.5000000000000004E-5    180000                   1.765911487084586E-4
5.0E-6                   3.5000000000000004E-5    190000                   1.7658861364146003E-4
5.0E-6                   3.5000000000000004E-5    200000                   1.7658396660990178E-4
1.0E-5                   5.0E-6                   0                        0
1.0E-5                   5.0E-6                   0.1                      0
1.0E-5                   5.0E-6                   0.2                      0
1.0E-5                   5.0E-6                   0.30000000000000004      0
1.0E-5                   5.0E-6                   0.4                      0
1.0E-5                   5.0E-6                   0.5                      0
1.0E-5                   5.0E-6                   0.6000000000000001       0
1.0E-5                   5.0E-6                   0.7000000000000001       0
1.0E-5                   5.0E-6                   0.8                      0
1.0E-5                   5.0E-6                   0.9                      0
1.0E-5                   5.0E-6                   1                        9.57692252517368E-7
1.0E-5                   5.0E-6                   1.1                      1.7924455742408717E-6
1.0E-5                   5.0E-6                   1.2000000000000002       1.8078278931378014E-6
1.0E-5                   5.0E-6                   1.3                      1.823038103835375E-6
1.0E-5                   5.0E-6                   1.4000000000000001       1.838164324899783E-6
1.0E-5                   5.0E-6                   1.5                      1.8532219072974577E-6
1.0E-5                   5.0E-6                   1.6                      1.8682272250351482E-6
1.0E-5                   5.0E-6                   1.7000000000000002       1.8831061151358536E-6
1.0E-5                   5.0E-6                   1.8                      1.8979131942745675E-6
1.0E-5                   5.0E-6                   1.9000000000000001       1.9126741383102274E-6
1.0E-5                   5.0E-6                   2                        1.927389038745137E-6
1.0E-5                   5.0E-6                   5                        2.3409389363030604E-6
1.0E-5                   5.0E-6                   10                       2.944995057656489E-6
1.0E-5                   5.0E-6                   100                      8.694653300419997E-6
1.0E-5                   5.0E-6                   100                      8.694653300419997E-6
1.0E-5                   5.0E-6                   200                      1.233485621256695E-5
1.0E-5                   5.0E-6                   300                      1.5110883866554524E-5
1.0E-5                   5.0E-6                   400                      1.7452006987903144E-5
1.0E-5                   5.0E-6                   500                      1.951740728380821E-5
1.0E-5                   5.0E-6                   600                      2.137722912358698E-5
1.0E-5                   5.0E-6                   700                      2.3083498930314685E-5
1.0E-5                   5.0E-6                   800                      2.4669822234461094E-5
1.0E-5                   5.0E-6                   900                      2.6157058861423064E-5
1.0E-5                   5.0E-6                   1000                     2.7563192870460224E-5
1.0E-5                   5.0E-6                   2000                     3.895082589887944E-5
1.0E-5                   5.0E-6                   3000                     4.769537964611644E-5
1.0E-5                   5.0E-6                   4000                     5.504702297499297E-5
1.0E-5                   5.0E-6                   5000                     6.15179285534133E-5
1.0E-5                   5.0E-6                   6000                     6.73872702764137E-5
1.0E-5                   5.0E-6                   7000                     7.2782451451496E-5
1.0E-5                   5.0E-6                   8000                     7.779143930163508E-5
1.0E-5                   5.0E-6                   9000                     8.249029958899015E-5
1.0E-5                   5.0E-6                   10000                    8.692954979657561E-5
1.0E-5                   5.0E-6                   20000                    1.2176814771663694E-4
1.0E-5                   5.0E-6                   30000                    1.442195931312795E-4
1.0E-5                   5.0E-6                   40000                    1.580940531311449E-4
1.0E-5                   5.0E-6                   50000                    1.6621532462153177E-4
1.0E-5                   5.0E-6                   60000                    1.7078205382125135E-4
1.0E-5                   5.0E-6                   70000                    1.7328666251351826E-4
1.0E-5                   5.0E-6                   80000                    1.746782735247407E-4
1.0E-5                   5.0E-6                   90000                    1.7547233266510797E-4
1.0E-5                   5.0E-6                   100000                   1.759305425344332E-4
1.0E-5                   5.0E-6                   110000                   1.7626573160491068E-4
1.0E-5                   5.0E-6                   120000                   1.764722863896414E-4
1.0E-5                   5.0E-6                   130000                   1.7658888460970099E-4
1.0E-5                   5.0E-6                   140000                   1.7666810350224486E-4
1.0E-5                   5.0E-6                   150000                   1.7670334964857778E-4
1.0E-5                   5.0E-6                   160000                   1.7672569372114867E-4
1.0E-5                   5.0E-6                   170000                   1.76726060591485E-4
1.0E-5                   5.0E-6                   180000                   1.7672727403570654E-4
1.0E-5                   5.0E-6                   190000                   1.7672174343771026E-4
1.0E-5                   5.0E-6                   200000                   1.7671769433730102E-4
1.0E-5                   1.25E-5                  0                        0
1.0E-5                   1.25E-5                  0.1                      0
1.0E-5                   1.25E-5                  0.2                      0
1.0E-5                   1.25E-5                  0.30000000000000004      0
1.0E-5                   1.25E-5                  0.4                      0
1.0E-5                   1.25E-5                  0.5                      0
1.0E-5                   1.25E-5                  0.6000000000000001       0
1.0E-5                   1.25E-5                  0.7000000000000001       0
1.0E-5                   1.25E-5                  0.8                      0
1.0E-5                   1.25E-5                  0.9                      0
1.0E-5                   1.25E-5                  1                        9.553523497699545E-7
1.0E-5                   1.25E-5                  1.1                      1.7876381333215619E-6
1.0E-5                   1.25E-5                  1.2000000000000002       1.8034036259512903E-6
1.0E-5                   1.25E-5                  1.3                      1.818993312973074E-6
1.0E-5                   1.25E-5                  1.4000000000000001       1.8344968259724853E-6
1.0E-5                   1.25E-5                  1.5                      1.8499307709083383E-6
1.0E-5                   1.25E-5                  1.6                      1.865311267951682E-6
1.0E-5                   1.25E-5                  1.7000000000000002       1.8805611200000369E-6
1.0E-5                   1.25E-5                  1.8                      1.8957394865444844E-6
1.0E-5                   1.25E-5                  1.9000000000000001       1.9108705772817186E-6
1.0E-5                   1.25E-5                  2                        1.9259544862576464E-6
1.0E-5                   1.25E-5                  5                        2.349880879559366E-6
1.0E-5                   1.25E-5                  10                       2.9688511264793512E-6
1.0E-5                   1.25E-5                  100                      8.831287591579683E-6
1.0E-5                   1.25E-5                  100                      8.831287591579683E-6
1.0E-5                   1.25E-5                  200                      1.2530892395834316E-5
1.0E-5                   1.25E-5                  300                      1.535050551139785E-5
1.0E-5                   1.25E-5                  400                      1.7727263353426443E-5
1.0E-5                   1.25E-5                  500                      1.9822808205488602E-5
1.0E-5                   1.25E-5                  600                      2.170854742199981E-5
1.0E-5                   1.25E-5                  700                      2.3437641393932272E-5
1.0E-5                   1.25E-5                  800                      2.5044289470202097E-5
1.0E-5                   1.25E-5                  900                      2.654990921475924E-5
1.0E-5                   1.25E-5                  1000                     2.797284882525305E-5
1.0E-5                   1.25E-5                  2000                     3.947845362491551E-5
1.0E-5                   1.25E-5                  3000                     4.829596732006451E-5
1.0E-5                   1.25E-5                  4000                     5.5699481902306725E-5
1.0E-5                   1.25E-5                  5000                     6.221073212640894E-5
1.0E-5                   1.25E-5                  6000                     6.811300351516344E-5
1.0E-5                   1.25E-5                  7000                     7.35351248876962E-5
1.0E-5                   1.25E-5                  8000                     7.856669383737532E-5
1.0E-5                   1.25E-5                  9000                     8.328462717090665E-5
1.0E-5                   1.25E-5                  10000                    8.774001320905434E-5
1.0E-5                   1.25E-5                  20000                    1.2259905219847775E-4
1.0E-5                   1.25E-5                  30000                    1.4488552722908302E-4
1.0E-5                   1.25E-5                  40000                    1.585303950012312E-4
1.0E-5                   1.25E-5                  50000                    1.6643648710243435E-4
1.0E-5                   1.25E-5                  60000                    1.7083298760705757E-4
1.0E-5                   1.25E-5                  70000                    1.7321461670323631E-4
1.0E-5                   1.25E-5                  80000                    1.7452947146131428E-4
1.0E-5                   1.25E-5                  90000                    1.7528330097112742E-4
1.0E-5                   1.25E-5                  100000                   1.7571203812113295E-4
1.0E-5                   1.25E-5                  110000                   1.7602991240346356E-4
1.0E-5                   1.25E-5                  120000                   1.7622504051173732E-4
1.0E-5                   1.25E-5                  130000                   1.7633467151048515E-4
1.0E-5                   1.25E-5                  140000                   1.7640853513930244E-4
1.0E-5                   1.25E-5                  150000                   1.7644092239527806E-4
1.0E-5                   1.25E-5                  160000                   1.7646097107144456E-4
1.0E-5                   1.25E-5                  170000                   1.764606588817007E-4
1.0E-5                   1.25E-5                  180000                   1.7646124717712197E-4
1.0E-5                   1.25E-5                  190000                   1.7645572554368652E-4
1.0E-5                   1.25E-5                  200000                   1.7645185032215245E-4
1.0E-5                   2.0E-5                   0                        0
1.0E-5                   2.0E-5                   0.1                      0
1.0E-5                   2.0E-5                   0.2                      0
1.0E-5                   2.0E-5                   0.30000000000000004      0
1.0E-5                   2.0E-5                   0.4                      0
1.0E-5                   2.0E-5                   0.5                      0
1.0E-5                   2.0E-5                   0.6000000000000001       0
1.0E-5                   2.0E-5                   0.7000000000000001       0
1.0E-5                   2.0E-5                   0.8                      0
1.0E-5                   2.0E-5                   0.9                      0
1.0E-5                   2.0E-5                   1                        9.964815104851948E-7
1.0E-5                   2.0E-5                   1.1                      1.8641475166419286E-6
1.0E-5                   2.0E-5                   1.2000000000000002       1.8798722462398066E-6
