% Model:              C52_3D_base_unit_cell_recesses_v2.mph
% Version:            COMSOL 5.2.0.220
% Date:               Jul 13 2026, 00:42
% Table:              Table 4 - Global Evaluation 1 (n_CO2_film)
% R_texture (m)          H_texture (m)            t (s)                    Total moles of CO2 captured per unit cell (mol)
2.0E-5                   5.0E-6                   0                        0
2.0E-5                   5.0E-6                   0.1                      0
2.0E-5                   5.0E-6                   0.2                      0
2.0E-5                   5.0E-6                   0.30000000000000004      0
2.0E-5                   5.0E-6                   0.4                      0
2.0E-5                   5.0E-6                   0.5                      0
2.0E-5                   5.0E-6                   0.6000000000000001       0
2.0E-5                   5.0E-6                   0.7000000000000001       0
2.0E-5                   5.0E-6                   0.8                      0
2.0E-5                   5.0E-6                   0.9                      0
2.0E-5                   5.0E-6                   1                        1.0747318605157457E-6
2.0E-5                   5.0E-6                   1.1                      1.9917735777110904E-6
2.0E-5                   5.0E-6                   1.2000000000000002       2.0048237539223163E-6
2.0E-5                   5.0E-6                   1.3                      2.0178256429419252E-6
2.0E-5                   5.0E-6                   1.4000000000000001       2.030789023560947E-6
2.0E-5                   5.0E-6                   1.5                      2.0436900082156916E-6
2.0E-5                   5.0E-6                   1.6                      2.0565552776352622E-6
2.0E-5                   5.0E-6                   1.7000000000000002       2.0693879639243473E-6
2.0E-5                   5.0E-6                   1.8                      2.08216979946723E-6
2.0E-5                   5.0E-6                   1.9000000000000001       2.0948672433277335E-6
2.0E-5                   5.0E-6                   2                        2.1075353630358996E-6
2.0E-5                   5.0E-6                   5                        2.4700683636855664E-6
2.0E-5                   5.0E-6                   10                       3.0137785502733305E-6
2.0E-5                   5.0E-6                   100                      8.497852618231356E-6
2.0E-5                   5.0E-6                   100                      8.497852618231356E-6
2.0E-5                   5.0E-6                   200                      1.2057690330464145E-5
2.0E-5                   5.0E-6                   300                      1.4784578666093529E-5
2.0E-5                   5.0E-6                   400                      1.707501261832218E-5
2.0E-5                   5.0E-6                   500                      1.9088765899875654E-5
2.0E-5                   5.0E-6                   600                      2.0918178037063623E-5
2.0E-5                   5.0E-6                   700                      2.2602843694287426E-5
2.0E-5                   5.0E-6                   800                      2.416636988038238E-5
2.0E-5                   5.0E-6                   900                      2.56321135888756E-5
2.0E-5                   5.0E-6                   1000                     2.7017046890602447E-5
2.0E-5                   5.0E-6                   2000                     3.822633171397791E-5
2.0E-5                   5.0E-6                   3000                     4.6856564241416685E-5
2.0E-5                   5.0E-6                   4000                     5.41537576169818E-5
2.0E-5                   5.0E-6                   5000                     6.058594585705898E-5
2.0E-5                   5.0E-6                   6000                     6.64130014973698E-5
2.0E-5                   5.0E-6                   7000                     7.177907252928124E-5
2.0E-5                   5.0E-6                   8000                     7.677546003256069E-5
2.0E-5                   5.0E-6                   9000                     8.146463993378174E-5
2.0E-5                   5.0E-6                   10000                    8.589337458368593E-5
2.0E-5                   5.0E-6                   20000                    1.206786592009348E-4
2.0E-5                   5.0E-6                   30000                    1.432070012295246E-4
2.0E-5                   5.0E-6                   40000                    1.5723571210363982E-4
2.0E-5                   5.0E-6                   50000                    1.6550820653797645E-4
2.0E-5                   5.0E-6                   60000                    1.7020416955273204E-4
2.0E-5                   5.0E-6                   70000                    1.7278193514958423E-4
2.0E-5                   5.0E-6                   80000                    1.741370067761761E-4
2.0E-5                   5.0E-6                   90000                    1.74936038276972E-4
2.0E-5                   5.0E-6                   100000                   1.7544187307104426E-4
2.0E-5                   5.0E-6                   110000                   1.757435952033755E-4
2.0E-5                   5.0E-6                   120000                   1.7598475868586474E-4
2.0E-5                   5.0E-6                   130000                   1.7614136993753554E-4
2.0E-5                   5.0E-6                   140000                   1.7624385990891285E-4
2.0E-5                   5.0E-6                   150000                   1.7629671533846326E-4
2.0E-5                   5.0E-6                   160000                   1.7633050287515326E-4
2.0E-5                   5.0E-6                   170000                   1.7633952111980006E-4
2.0E-5                   5.0E-6                   180000                   1.7634550411944886E-4
2.0E-5                   5.0E-6                   190000                   1.763426347400011E-4
2.0E-5                   5.0E-6                   200000                   1.763408022022795E-4
2.0E-5                   1.25E-5                  0                        0
2.0E-5                   1.25E-5                  0.1                      0
2.0E-5                   1.25E-5                  0.2                      0
2.0E-5                   1.25E-5                  0.30000000000000004      0
2.0E-5                   1.25E-5                  0.4                      0
2.0E-5                   1.25E-5                  0.5                      0
2.0E-5                   1.25E-5                  0.6000000000000001       0
2.0E-5                   1.25E-5                  0.7000000000000001       0
2.0E-5                   1.25E-5                  0.8                      0
2.0E-5                   1.25E-5                  0.9                      0
2.0E-5                   1.25E-5                  1                        1.0956577315930538E-6
2.0E-5                   1.25E-5                  1.1                      2.0308169325333806E-6
2.0E-5                   1.25E-5                  1.2000000000000002       2.044251542344276E-6
2.0E-5                   1.25E-5                  1.3                      2.057636630600277E-6
2.0E-5                   1.25E-5                  1.4000000000000001       2.070982195208506E-6
2.0E-5                   1.25E-5                  1.5                      2.084263752412366E-6
2.0E-5                   1.25E-5                  1.6                      2.0975086931917364E-6
2.0E-5                   1.25E-5                  1.7000000000000002       2.110720089365001E-6
2.0E-5                   1.25E-5                  1.8                      2.1238788054361023E-6
2.0E-5                   1.25E-5                  1.9000000000000001       2.136951636846653E-6
2.0E-5                   1.25E-5                  2                        2.1499942138396725E-6
2.0E-5                   1.25E-5                  5                        2.5232161562893147E-6
2.0E-5                   1.25E-5                  10                       3.082685224734656E-6
2.0E-5                   1.25E-5                  100                      8.709120858930656E-6
2.0E-5                   1.25E-5                  100                      8.709120858930656E-6
2.0E-5                   1.25E-5                  200                      1.2359507458068081E-5
2.0E-5                   1.25E-5                  300                      1.5153066510000748E-5
2.0E-5                   1.25E-5                  400                      1.7496685109663455E-5
2.0E-5                   1.25E-5                  500                      1.9554497500443605E-5
2.0E-5                   1.25E-5                  600                      2.1421290345586224E-5
2.0E-5                   1.25E-5                  700                      2.3138462708303968E-5
2.0E-5                   1.25E-5                  800                      2.4730391004103646E-5
2.0E-5                   1.25E-5                  900                      2.6221262196970693E-5
2.0E-5                   1.25E-5                  1000                     2.7628712065448377E-5
2.0E-5                   1.25E-5                  2000                     3.8981216790389756E-5
2.0E-5                   1.25E-5                  3000                     4.76856309992898E-5
2.0E-5                   1.25E-5                  4000                     5.5028359969834935E-5
2.0E-5                   1.25E-5                  5000                     6.149079631856944E-5
2.0E-5                   1.25E-5                  6000                     6.733927526749655E-5
2.0E-5                   1.25E-5                  7000                     7.272128333585426E-5
2.0E-5                   1.25E-5                  8000                     7.772970659301798E-5
2.0E-5                   1.25E-5                  9000                     8.242785851718219E-5
2.0E-5                   1.25E-5                  10000                    8.68626181983089E-5
2.0E-5                   1.25E-5                  20000                    1.2157366269485213E-4
2.0E-5                   1.25E-5                  30000                    1.4381557720631648E-4
2.0E-5                   1.25E-5                  40000                    1.5748412414043719E-4
2.0E-5                   1.25E-5                  50000                    1.6542553202749841E-4
2.0E-5                   1.25E-5                  60000                    1.6986496745827719E-4
2.0E-5                   1.25E-5                  70000                    1.7225165027229838E-4
2.0E-5                   1.25E-5                  80000                    1.7348083097315064E-4
2.0E-5                   1.25E-5                  90000                    1.7420840238649107E-4
2.0E-5                   1.25E-5                  100000                   1.7467221896932586E-4
2.0E-5                   1.25E-5                  110000                   1.7494948002214793E-4
2.0E-5                   1.25E-5                  120000                   1.7517481551030588E-4
2.0E-5                   1.25E-5                  130000                   1.753213299216013E-4
2.0E-5                   1.25E-5                  140000                   1.7541711424285457E-4
2.0E-5                   1.25E-5                  150000                   1.7546591615513632E-4
2.0E-5                   1.25E-5                  160000                   1.7549744371149392E-4
2.0E-5                   1.25E-5                  170000                   1.7550545133679805E-4
2.0E-5                   1.25E-5                  180000                   1.7551095131747052E-4
2.0E-5                   1.25E-5                  190000                   1.7550806903234684E-4
2.0E-5                   1.25E-5                  200000                   1.7550631280798508E-4
2.0E-5                   2.0E-5                   0                        0
2.0E-5                   2.0E-5                   0.1                      0
2.0E-5                   2.0E-5                   0.2                      0
2.0E-5                   2.0E-5                   0.30000000000000004      0
2.0E-5                   2.0E-5                   0.4                      0
2.0E-5                   2.0E-5                   0.5                      0
2.0E-5                   2.0E-5                   0.6000000000000001       0
2.0E-5                   2.0E-5                   0.7000000000000001       0
2.0E-5                   2.0E-5                   0.8                      0
2.0E-5                   2.0E-5                   0.9                      0
2.0E-5                   2.0E-5                   1                        1.1078091935151741E-6
2.0E-5                   2.0E-5                   1.1                      2.0539121633271175E-6
2.0E-5                   2.0E-5                   1.2000000000000002       2.067835572666463E-6
2.0E-5                   2.0E-5                   1.3                      2.0817066677420547E-6
2.0E-5                   2.0E-5                   1.4000000000000001       2.0955360849850596E-6
2.0E-5                   2.0E-5                   1.5                      2.1092978139639475E-6
2.0E-5                   2.0E-5                   1.6                      2.1230210255329885E-6
2.0E-5                   2.0E-5                   1.7000000000000002       2.136708902808449E-6
2.0E-5                   2.0E-5                   1.8                      2.1503408002229833E-6
2.0E-5                   2.0E-5                   1.9000000000000001       2.163882244622178E-6
2.0E-5                   2.0E-5                   2                        2.1773918712078754E-6
2.0E-5                   2.0E-5                   5                        2.5636684069991512E-6
2.0E-5                   2.0E-5                   10                       3.1418374069353125E-6
2.0E-5                   2.0E-5                   100                      8.925356491783455E-6
2.0E-5                   2.0E-5                   100                      8.925356491783455E-6
2.0E-5                   2.0E-5                   200                      1.266916210112225E-5
2.0E-5                   2.0E-5                   300                      1.5537087911979224E-5
2.0E-5                   2.0E-5                   400                      1.794434433289924E-5
2.0E-5                   2.0E-5                   500                      2.005797828661089E-5
2.0E-5                   2.0E-5                   600                      2.1977387987628014E-5
2.0E-5                   2.0E-5                   700                      2.3741309842463764E-5
2.0E-5                   2.0E-5                   800                      2.5376362675845053E-5
2.0E-5                   2.0E-5                   900                      2.6907435308162494E-5
2.0E-5                   2.0E-5                   1000                     2.8352088327329208E-5
2.0E-5                   2.0E-5                   2000                     3.998700656711024E-5
2.0E-5                   2.0E-5                   3000                     4.8873795469112887E-5
2.0E-5                   2.0E-5                   4000                     5.6349330487389414E-5
2.0E-5                   2.0E-5                   5000                     6.291341062019765E-5
2.0E-5                   2.0E-5                   6000                     6.884466081437618E-5
2.0E-5                   2.0E-5                   7000                     7.429440399214656E-5
2.0E-5                   2.0E-5                   8000                     7.93586236565177E-5
2.0E-5                   2.0E-5                   9000                     8.41015434288461E-5
2.0E-5                   2.0E-5                   10000                    8.85732477586596E-5
2.0E-5                   2.0E-5                   20000                    1.2328869119688414E-4
2.0E-5                   2.0E-5                   30000                    1.450937508876115E-4
2.0E-5                   2.0E-5                   40000                    1.5820441588700697E-4
2.0E-5                   2.0E-5                   50000                    1.6564583013229243E-4
2.0E-5                   2.0E-5                   60000                    1.697011631305388E-4
2.0E-5                   2.0E-5                   70000                    1.718240472119524E-4
2.0E-5                   2.0E-5                   80000                    1.7289869256272903E-4
2.0E-5                   2.0E-5                   90000                    1.7352346663581096E-4
2.0E-5                   2.0E-5                   100000                   1.7396219049953542E-4
2.0E-5                   2.0E-5                   110000                   1.7426616175568232E-4
2.0E-5                   2.0E-5                   120000                   1.7438270952278595E-4
2.0E-5                   2.0E-5                   130000                   1.7448595861796078E-4
2.0E-5                   2.0E-5                   140000                   1.745374383156259E-4
2.0E-5                   2.0E-5                   150000                   1.7458322276935642E-4
2.0E-5                   2.0E-5                   160000                   1.7460614862311103E-4
2.0E-5                   2.0E-5                   170000                   1.74626561570618E-4
2.0E-5                   2.0E-5                   180000                   1.7463678656506304E-4
2.0E-5                   2.0E-5                   190000                   1.7464589193986324E-4
2.0E-5                   2.0E-5                   200000                   1.746504536356847E-4
2.0E-5                   2.75E-5                  0                        0
2.0E-5                   2.75E-5                  0.1                      0
2.0E-5                   2.75E-5                  0.2                      0
2.0E-5                   2.75E-5                  0.30000000000000004      0
2.0E-5                   2.75E-5                  0.4                      0
2.0E-5                   2.75E-5                  0.5                      0
2.0E-5                   2.75E-5                  0.6000000000000001       0
2.0E-5                   2.75E-5                  0.7000000000000001       0
2.0E-5                   2.75E-5                  0.8                      0
2.0E-5                   2.75E-5                  0.9                      0
